#Insert size (bp)	insert size
92.0	1.0
93.0	5.0
103.0	1.0
106.0	2.0
108.0	2.0
117.0	1.0
124.0	1.0
135.0	1.0
142.0	1.0
148.0	4.0
163.0	1.0
186.0	1.0
190.0	1.0
193.0	1.0
208.0	3.0
210.0	4.0
224.0	3.0
241.0	1.0
244.0	1.0
248.0	1.0
250.0	1.0
253.0	1.0
262.0	1.0
275.0	1.0
283.0	1.0
284.0	1.0
290.0	1.0
294.0	2.0
296.0	1.0
298.0	1.0
299.0	1.0
300.0	1.0
301.0	2.0
302.0	2.0
303.0	3.0
304.0	2.0
306.0	5.0
307.0	3.0
309.0	1.0
310.0	4.0
311.0	1.0
312.0	3.0
313.0	1.0
314.0	1.0
315.0	1.0
316.0	1.0
317.0	3.0
318.0	2.0
319.0	3.0
320.0	2.0
321.0	2.0
322.0	1.0
323.0	2.0
324.0	3.0
325.0	2.0
326.0	2.0
327.0	5.0
328.0	2.0
329.0	3.0
330.0	6.0
331.0	5.0
332.0	4.0
333.0	10.0
334.0	2.0
335.0	2.0
336.0	5.0
337.0	3.0
338.0	9.0
339.0	6.0
340.0	7.0
341.0	8.0
342.0	7.0
343.0	1.0
344.0	4.0
345.0	11.0
346.0	10.0
347.0	7.0
348.0	9.0
349.0	7.0
350.0	5.0
351.0	14.0
352.0	16.0
353.0	5.0
354.0	14.0
355.0	14.0
356.0	7.0
357.0	13.0
358.0	12.0
359.0	9.0
360.0	8.0
361.0	16.0
362.0	9.0
363.0	12.0
364.0	10.0
365.0	15.0
366.0	15.0
367.0	14.0
368.0	13.0
369.0	23.0
370.0	20.0
371.0	27.0
372.0	36.0
373.0	30.0
374.0	40.0
375.0	49.0
376.0	57.0
377.0	62.0
378.0	71.0
379.0	86.0
380.0	90.0
381.0	76.0
382.0	68.0
383.0	59.0
384.0	62.0
385.0	58.0
386.0	60.0
387.0	72.0
388.0	62.0
389.0	66.0
390.0	65.0
391.0	65.0
392.0	57.0
393.0	55.0
394.0	37.0
395.0	31.0
396.0	27.0
397.0	33.0
398.0	30.0
399.0	30.0
400.0	19.0
401.0	27.0
402.0	24.0
403.0	22.0
404.0	19.0
405.0	20.0
406.0	13.0
407.0	19.0
408.0	14.0
409.0	16.0
410.0	13.0
411.0	16.0
412.0	11.0
413.0	10.0
414.0	12.0
415.0	11.0
416.0	14.0
417.0	11.0
418.0	5.0
419.0	3.0
420.0	2.0
432.0	1.0
470.0	1.0
483.0	1.0
487.0	2.0
504.0	1.0
522.0	1.0
541.0	1.0
550.0	1.0
561.0	1.0
563.0	1.0
564.0	1.0
588.0	1.0
597.0	1.0
598.0	1.0
601.0	1.0
602.0	1.0
603.0	1.0
605.0	1.0
606.0	1.0
609.0	1.0
613.0	1.0
615.0	1.0
618.0	2.0
620.0	1.0
621.0	1.0
623.0	1.0
627.0	1.0
628.0	1.0
632.0	1.0
637.0	1.0
638.0	2.0
639.0	1.0
640.0	1.0
641.0	2.0
643.0	2.0
644.0	1.0
645.0	1.0
646.0	2.0
648.0	1.0
650.0	2.0
651.0	3.0
652.0	1.0
653.0	1.0
654.0	3.0
657.0	1.0
658.0	1.0
659.0	3.0
661.0	1.0
663.0	1.0
664.0	1.0
665.0	1.0
668.0	2.0
669.0	1.0
671.0	3.0
672.0	1.0
673.0	2.0
674.0	1.0
675.0	1.0
676.0	2.0
677.0	1.0
678.0	3.0
679.0	4.0
680.0	1.0
681.0	2.0
682.0	1.0
683.0	4.0
684.0	1.0
685.0	3.0
686.0	2.0
687.0	1.0
688.0	1.0
689.0	1.0
690.0	1.0
691.0	2.0
692.0	1.0
694.0	5.0
695.0	3.0
696.0	1.0
697.0	3.0
698.0	3.0
699.0	2.0
700.0	2.0
701.0	4.0
702.0	1.0
703.0	1.0
705.0	2.0
706.0	2.0
707.0	1.0
708.0	1.0
709.0	1.0
711.0	1.0
712.0	1.0
714.0	1.0
715.0	3.0
716.0	1.0
717.0	3.0
718.0	3.0
719.0	1.0
720.0	1.0
721.0	1.0
722.0	1.0
723.0	2.0
724.0	2.0
725.0	2.0
726.0	3.0
727.0	3.0
728.0	3.0
736.0	1.0
752.0	1.0
828.0	2.0
865.0	1.0
877.0	1.0
896.0	1.0
903.0	1.0
906.0	1.0
922.0	1.0
961.0	1.0
966.0	1.0
987.0	1.0
988.0	1.0
1021.0	1.0
1036.0	1.0
1039.0	1.0
1056.0	1.0
1068.0	1.0
1072.0	1.0
1140.0	1.0
1145.0	1.0
1147.0	1.0
1149.0	1.0
1168.0	1.0
1187.0	1.0
1189.0	1.0
1196.0	1.0
1204.0	1.0
1228.0	1.0
1241.0	1.0
1254.0	2.0
1265.0	1.0
1267.0	1.0
1268.0	1.0
1283.0	2.0
1287.0	1.0
1291.0	1.0
1327.0	1.0
1339.0	1.0
1346.0	1.0
1349.0	1.0
1352.0	1.0
1379.0	1.0
