#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	2.8669724770642203E-4
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	2.8669724770642203E-4
19.0	0.0
20.0	2.8669724770642203E-4
21.0	0.0
22.0	0.0
23.0	0.0
24.0	5.733944954128441E-4
25.0	2.8669724770642203E-4
26.0	0.0
27.0	0.0
28.0	2.8669724770642203E-4
29.0	0.0017201834862385322
30.0	0.013474770642201836
31.0	0.017201834862385322
32.0	0.028669724770642203
33.0	0.034977064220183485
34.0	0.05418577981651376
35.0	0.06737385321100918
36.0	0.0860091743119266
37.0	0.0989105504587156
38.0	0.09604357798165138
39.0	0.10149082568807342
40.0	0.0871559633027523
41.0	0.08514908256880735
42.0	0.0690940366972477
43.0	0.03125
44.0	0.024655963302752295
45.0	0.016055045871559634
46.0	0.013761467889908258
47.0	0.016915137614678902
48.0	0.014908256880733946
49.0	0.010894495412844037
50.0	0.010607798165137615
51.0	0.010607798165137615
52.0	0.0040137614678899085
53.0	0.0022935779816513763
54.0	0.0
55.0	2.8669724770642203E-4
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	2.8669724770642203E-4
