#Coverage	Number of genomic locations
0.0	53.0
1.0	4.0
4.0	33.0
7.0	4.0
8.0	1.0
9.0	2.0
15.0	1.0
17.0	3.0
18.0	1.0
23.0	1.0
27.0	4.0
28.0	2.0
29.0	2.0
34.0	3.0
35.0	1.0
40.0	1.0
44.0	14.0
45.0	21.0
46.0	17.0
47.0	26.0
48.0	26.0
49.0	21.0
50.0	19.0
51.0	72.0
52.0	49.0
53.0	61.0
54.0	34.0
55.0	16.0
56.0	38.0
57.0	38.0
58.0	79.0
59.0	91.0
60.0	62.0
61.0	60.0
62.0	89.0
63.0	121.0
64.0	105.0
65.0	100.0
66.0	128.0
67.0	113.0
68.0	184.0
69.0	182.0
70.0	213.0
71.0	226.0
72.0	135.0
73.0	182.0
74.0	205.0
75.0	205.0
76.0	288.0
77.0	184.0
78.0	229.0
79.0	280.0
80.0	305.0
81.0	327.0
82.0	235.0
83.0	304.0
84.0	289.0
85.0	231.0
86.0	210.0
87.0	287.0
88.0	378.0
89.0	374.0
90.0	364.0
91.0	332.0
92.0	326.0
93.0	261.0
94.0	281.0
95.0	261.0
96.0	297.0
97.0	302.0
98.0	273.0
99.0	291.0
100.0	282.0
101.0	284.0
102.0	283.0
103.0	237.0
104.0	281.0
105.0	267.0
106.0	270.0
107.0	292.0
108.0	252.0
109.0	270.0
110.0	237.0
111.0	223.0
112.0	243.0
113.0	254.0
114.0	227.0
115.0	218.0
116.0	232.0
117.0	220.0
118.0	219.0
119.0	224.0
120.0	215.0
121.0	216.0
122.0	202.0
123.0	207.0
124.0	206.0
125.0	154.0
126.0	165.0
127.0	195.0
128.0	212.0
129.0	201.0
130.0	165.0
131.0	169.0
132.0	154.0
133.0	194.0
134.0	195.0
135.0	182.0
136.0	140.0
137.0	151.0
138.0	175.0
139.0	177.0
140.0	129.0
141.0	144.0
142.0	148.0
143.0	158.0
144.0	147.0
145.0	152.0
146.0	215.0
147.0	172.0
148.0	175.0
149.0	186.0
150.0	157.0
151.0	156.0
152.0	130.0
153.0	124.0
154.0	157.0
155.0	127.0
156.0	165.0
157.0	161.0
158.0	166.0
159.0	164.0
160.0	159.0
161.0	208.0
162.0	190.0
163.0	209.0
164.0	211.0
165.0	207.0
166.0	186.0
167.0	210.0
168.0	141.0
169.0	130.0
170.0	133.0
171.0	160.0
172.0	131.0
173.0	135.0
174.0	126.0
175.0	115.0
176.0	84.0
177.0	81.0
178.0	83.0
179.0	74.0
180.0	81.0
181.0	117.0
182.0	99.0
183.0	89.0
184.0	107.0
185.0	104.0
186.0	111.0
187.0	94.0
188.0	100.0
189.0	93.0
190.0	77.0
191.0	91.0
192.0	120.0
193.0	84.0
194.0	63.0
195.0	77.0
196.0	75.0
197.0	87.0
198.0	92.0
199.0	101.0
200.0	103.0
201.0	87.0
202.0	74.0
203.0	99.0
204.0	96.0
205.0	113.0
206.0	93.0
207.0	59.0
208.0	91.0
209.0	78.0
210.0	74.0
211.0	90.0
212.0	74.0
213.0	80.0
214.0	61.0
215.0	48.0
216.0	73.0
217.0	36.0
218.0	48.0
219.0	52.0
220.0	62.0
221.0	49.0
222.0	42.0
223.0	41.0
224.0	51.0
225.0	41.0
226.0	47.0
227.0	47.0
228.0	67.0
229.0	44.0
230.0	61.0
231.0	44.0
232.0	21.0
233.0	22.0
234.0	31.0
235.0	28.0
236.0	33.0
237.0	34.0
238.0	33.0
239.0	23.0
240.0	30.0
241.0	23.0
242.0	19.0
243.0	28.0
244.0	20.0
245.0	19.0
246.0	25.0
247.0	18.0
248.0	15.0
249.0	18.0
250.0	24.0
251.0	21.0
252.0	21.0
253.0	14.0
254.0	21.0
255.0	14.0
256.0	15.0
257.0	9.0
258.0	8.0
259.0	13.0
260.0	6.0
261.0	13.0
262.0	12.0
263.0	13.0
264.0	5.0
265.0	10.0
266.0	13.0
267.0	11.0
268.0	12.0
269.0	7.0
270.0	10.0
271.0	7.0
272.0	11.0
273.0	8.0
274.0	9.0
275.0	7.0
276.0	10.0
277.0	10.0
278.0	15.0
279.0	9.0
280.0	8.0
281.0	10.0
282.0	10.0
283.0	10.0
284.0	12.0
285.0	12.0
286.0	27.0
287.0	7.0
288.0	7.0
289.0	7.0
290.0	10.0
291.0	7.0
292.0	15.0
293.0	13.0
294.0	9.0
295.0	15.0
296.0	13.0
297.0	9.0
298.0	6.0
299.0	3.0
300.0	3.0
301.0	3.0
302.0	4.0
303.0	1.0
304.0	3.0
305.0	2.0
306.0	4.0
307.0	6.0
308.0	5.0
309.0	4.0
310.0	5.0
311.0	4.0
312.0	1.0
314.0	3.0
315.0	3.0
316.0	2.0
317.0	2.0
318.0	1.0
319.0	3.0
329.0	1.0
377.0	1.0
481.0	1.0
583.0	1.0
605.0	1.0
698.0	1.0
740.0	1.0
741.0	1.0
