#Coverage (X)	Coverage
1.0	99.86957830318028
2.0	99.3177942012507
3.0	97.56211751329297
4.0	95.63588937564793
5.0	91.28849948165735
6.0	81.73761829916731
7.0	72.51446343176269
8.0	63.164231013610674
9.0	54.04808882051968
10.0	46.25957261813196
11.0	42.440557803564865
12.0	36.474601210580886
13.0	29.187706919038234
14.0	24.13135805771998
15.0	20.09831789452565
16.0	17.346085677022387
17.0	14.690833695615837
18.0	12.326522422499423
19.0	10.918636926060941
20.0	9.704711901815884
21.0	8.146339832123886
22.0	6.785272380697606
23.0	5.641574423970852
24.0	4.608233287630014
25.0	4.23368892753237
26.0	3.434438016252571
27.0	3.1468414540347283
28.0	2.9930107347089034
29.0	2.775641240009378
30.0	2.541551014948354
31.0	2.207136407718309
32.0	1.8961308229943654
33.0	1.889442530849763
34.0	1.8292479015483565
35.0	1.3008728221248873
36.0	1.133665518509872
37.0	1.0835033274253618
38.0	0.9965555295455459
39.0	0.9831789452563413
40.0	0.906263585593436
41.0	0.7524328662676112
42.0	0.5584723940741867
43.0	0.5384075176403798
44.0	0.45145971976056387
45.0	0.4313948433267569
46.0	0.40798582082065593
47.0	0.364511921880748
48.0	0.3076614386516354
49.0	0.2842524161455344
50.0	0.2775641240009321
51.0	0.2641875397117275
