#Insert size (bp)	insert size
32.0	1.0
70.0	1.0
78.0	2.0
79.0	1.0
80.0	1.0
88.0	1.0
90.0	1.0
93.0	3.0
98.0	1.0
100.0	1.0
108.0	1.0
117.0	2.0
119.0	1.0
121.0	1.0
123.0	2.0
124.0	1.0
130.0	4.0
132.0	1.0
133.0	1.0
138.0	1.0
141.0	1.0
144.0	3.0
145.0	1.0
147.0	1.0
157.0	1.0
158.0	2.0
159.0	2.0
160.0	3.0
162.0	1.0
167.0	1.0
169.0	2.0
170.0	1.0
172.0	1.0
174.0	1.0
175.0	4.0
179.0	1.0
180.0	2.0
182.0	1.0
183.0	1.0
188.0	3.0
189.0	1.0
190.0	3.0
192.0	6.0
193.0	16.0
195.0	1.0
198.0	1.0
202.0	2.0
203.0	1.0
204.0	2.0
205.0	3.0
206.0	1.0
209.0	3.0
210.0	6.0
213.0	1.0
214.0	2.0
215.0	4.0
217.0	2.0
220.0	1.0
223.0	1.0
226.0	1.0
227.0	1.0
229.0	2.0
230.0	2.0
231.0	1.0
232.0	1.0
233.0	4.0
234.0	1.0
236.0	1.0
239.0	1.0
242.0	6.0
247.0	3.0
248.0	1.0
249.0	1.0
250.0	3.0
251.0	2.0
252.0	1.0
254.0	1.0
256.0	1.0
257.0	1.0
259.0	1.0
260.0	1.0
261.0	1.0
262.0	1.0
264.0	1.0
268.0	1.0
270.0	1.0
276.0	1.0
278.0	5.0
280.0	2.0
283.0	1.0
284.0	1.0
286.0	1.0
297.0	2.0
299.0	2.0
309.0	2.0
310.0	1.0
311.0	1.0
312.0	2.0
314.0	1.0
318.0	1.0
324.0	1.0
326.0	1.0
328.0	1.0
331.0	1.0
339.0	1.0
340.0	1.0
348.0	1.0
349.0	1.0
350.0	1.0
353.0	1.0
354.0	1.0
355.0	2.0
362.0	1.0
364.0	2.0
365.0	1.0
366.0	1.0
368.0	3.0
369.0	2.0
370.0	1.0
371.0	1.0
372.0	3.0
373.0	1.0
374.0	3.0
375.0	4.0
376.0	8.0
377.0	10.0
378.0	13.0
379.0	26.0
380.0	27.0
381.0	30.0
382.0	25.0
383.0	16.0
384.0	17.0
385.0	19.0
386.0	22.0
387.0	21.0
388.0	17.0
389.0	9.0
390.0	14.0
391.0	19.0
392.0	28.0
393.0	22.0
394.0	16.0
395.0	17.0
396.0	6.0
397.0	7.0
398.0	7.0
399.0	12.0
400.0	8.0
401.0	19.0
402.0	6.0
403.0	7.0
404.0	11.0
405.0	15.0
406.0	9.0
407.0	9.0
408.0	10.0
409.0	11.0
410.0	8.0
411.0	7.0
412.0	5.0
413.0	3.0
414.0	2.0
415.0	5.0
416.0	6.0
417.0	3.0
418.0	3.0
419.0	2.0
420.0	1.0
434.0	1.0
447.0	1.0
462.0	2.0
465.0	1.0
469.0	1.0
470.0	1.0
488.0	1.0
497.0	4.0
498.0	1.0
510.0	1.0
517.0	1.0
547.0	1.0
554.0	1.0
569.0	1.0
576.0	1.0
581.0	1.0
585.0	1.0
587.0	1.0
588.0	3.0
591.0	2.0
593.0	1.0
598.0	1.0
606.0	1.0
613.0	8.0
624.0	1.0
635.0	1.0
637.0	1.0
642.0	2.0
645.0	1.0
646.0	1.0
647.0	2.0
648.0	2.0
652.0	4.0
653.0	1.0
657.0	2.0
660.0	1.0
661.0	2.0
665.0	2.0
667.0	1.0
668.0	2.0
671.0	1.0
672.0	3.0
673.0	1.0
680.0	1.0
718.0	1.0
748.0	1.0
755.0	1.0
762.0	2.0
775.0	1.0
803.0	1.0
815.0	1.0
825.0	21.0
826.0	1.0
846.0	1.0
849.0	1.0
858.0	2.0
863.0	1.0
881.0	1.0
939.0	1.0
949.0	1.0
950.0	3.0
967.0	2.0
977.0	2.0
982.0	1.0
986.0	1.0
989.0	1.0
995.0	1.0
999.0	1.0
1016.0	2.0
1018.0	1.0
1020.0	1.0
1027.0	1.0
1032.0	1.0
1036.0	1.0
1038.0	1.0
1046.0	1.0
1179.0	1.0
1316.0	1.0
1445.0	1.0
1454.0	1.0
1464.0	2.0
1467.0	1.0
1481.0	1.0
1492.0	1.0
1704.0	1.0
1915.0	1.0
1955.0	1.0
2054.0	1.0
2069.0	1.0
2186.0	1.0
2189.0	1.0
2267.0	1.0
2672.0	1.0
3224.0	1.0
4675.0	1.0
5226.0	1.0
5720.0	2.0
5875.0	1.0
5927.0	7.0
10141.0	6.0
10569.0	4.0
10733.0	4.0
11798.0	1.0
11919.0	1.0
15148.0	1.0
15448.0	1.0
16179.0	4.0
19909.0	3.0
20542.0	1.0
21139.0	2.0
21656.0	1.0
21712.0	5.0
21713.0	158.0
22199.0	3.0
22316.0	6.0
22873.0	2.0
22915.0	2.0
25339.0	1.0
25593.0	25.0
25922.0	2.0
25964.0	18.0
26313.0	2.0
26393.0	371.0
26396.0	1.0
26559.0	2.0
26560.0	526.0
26561.0	1.0
26896.0	1.0
26967.0	6.0
27184.0	2.0
27185.0	453.0
27685.0	3.0
27686.0	1.0
27824.0	16.0
28424.0	1.0
28433.0	4.0
28434.0	546.0
28910.0	2.0
28912.0	1.0
