#Coverage	Number of genomic locations
1.0	1.0
9.0	1.0
39.0	1.0
123.0	1.0
397.0	1.0
968.0	1.0
989.0	1.0
1016.0	1.0
1050.0	1.0
1082.0	1.0
1129.0	1.0
1179.0	1.0
1242.0	1.0
1304.0	1.0
1373.0	1.0
1479.0	1.0
1571.0	1.0
1682.0	1.0
1756.0	1.0
1854.0	1.0
1959.0	1.0
1974.0	1.0
1981.0	1.0
1986.0	1.0
1994.0	1.0
2004.0	1.0
2005.0	1.0
2012.0	1.0
2084.0	1.0
2218.0	1.0
2319.0	1.0
2376.0	1.0
2436.0	1.0
2475.0	1.0
2529.0	1.0
2536.0	1.0
2559.0	1.0
2564.0	1.0
2570.0	1.0
2595.0	1.0
2611.0	1.0
2627.0	2.0
2636.0	1.0
2672.0	1.0
2673.0	1.0
2679.0	1.0
2692.0	1.0
2720.0	1.0
2730.0	1.0
2791.0	1.0
2845.0	1.0
2857.0	1.0
2864.0	1.0
2865.0	1.0
2876.0	1.0
2883.0	1.0
2916.0	1.0
2919.0	1.0
2922.0	1.0
2923.0	1.0
2934.0	1.0
2952.0	1.0
2955.0	1.0
2956.0	1.0
2971.0	1.0
2976.0	1.0
2983.0	1.0
3003.0	1.0
3008.0	1.0
3045.0	1.0
3085.0	1.0
3110.0	1.0
3114.0	1.0
3128.0	1.0
3131.0	1.0
3134.0	1.0
3139.0	1.0
3144.0	1.0
3148.0	1.0
3149.0	1.0
3151.0	1.0
3212.0	1.0
3218.0	1.0
3239.0	1.0
3263.0	1.0
3267.0	1.0
3273.0	1.0
3281.0	1.0
3282.0	1.0
3285.0	1.0
3290.0	1.0
3291.0	3.0
3293.0	1.0
3294.0	1.0
3298.0	2.0
3299.0	1.0
3303.0	1.0
3305.0	2.0
3308.0	1.0
3310.0	1.0
3312.0	1.0
3313.0	1.0
3323.0	2.0
3324.0	2.0
3325.0	2.0
3327.0	1.0
3329.0	1.0
3331.0	1.0
3333.0	2.0
3334.0	1.0
3338.0	1.0
3342.0	1.0
3350.0	1.0
3353.0	1.0
3365.0	1.0
3367.0	1.0
3370.0	1.0
3372.0	1.0
3378.0	1.0
3379.0	2.0
3380.0	2.0
3381.0	1.0
3383.0	1.0
3384.0	1.0
3385.0	2.0
3386.0	1.0
3387.0	1.0
3389.0	1.0
3390.0	1.0
3392.0	1.0
3393.0	1.0
3400.0	1.0
3402.0	1.0
3408.0	1.0
3416.0	1.0
3418.0	1.0
3420.0	2.0
3422.0	1.0
3425.0	1.0
3427.0	1.0
3429.0	1.0
3430.0	1.0
