#Duplication rate	Coverage
1.0	3434.0
2.0	2428.0
3.0	1844.0
4.0	1527.0
5.0	1265.0
6.0	1063.0
7.0	885.0
8.0	817.0
9.0	730.0
10.0	662.0
11.0	593.0
12.0	552.0
13.0	481.0
14.0	457.0
15.0	395.0
16.0	376.0
17.0	317.0
18.0	326.0
19.0	299.0
20.0	250.0
21.0	261.0
22.0	231.0
23.0	231.0
24.0	193.0
25.0	190.0
26.0	156.0
27.0	141.0
28.0	152.0
29.0	163.0
30.0	133.0
31.0	133.0
32.0	95.0
33.0	111.0
34.0	113.0
35.0	96.0
36.0	79.0
37.0	83.0
38.0	70.0
39.0	79.0
40.0	61.0
41.0	61.0
42.0	54.0
43.0	57.0
44.0	42.0
45.0	43.0
46.0	45.0
47.0	33.0
48.0	43.0
49.0	30.0
50.0	555.0
