#Coverage	Number of genomic locations
0.0	50.0
1.0	35.0
3.0	1.0
4.0	1.0
5.0	1.0
7.0	1.0
8.0	1.0
9.0	50.0
10.0	23.0
11.0	12.0
12.0	15.0
13.0	20.0
14.0	57.0
15.0	9.0
16.0	2.0
18.0	4.0
19.0	1.0
20.0	7.0
22.0	4.0
27.0	2.0
30.0	1.0
31.0	1.0
32.0	1.0
33.0	3.0
34.0	1.0
35.0	2.0
36.0	3.0
38.0	1.0
39.0	4.0
40.0	1.0
41.0	2.0
43.0	1.0
44.0	6.0
45.0	3.0
46.0	4.0
47.0	7.0
49.0	3.0
50.0	4.0
51.0	4.0
52.0	7.0
55.0	5.0
56.0	4.0
57.0	17.0
58.0	8.0
59.0	15.0
60.0	20.0
61.0	9.0
62.0	7.0
63.0	18.0
64.0	6.0
65.0	8.0
66.0	12.0
67.0	26.0
68.0	5.0
69.0	7.0
70.0	15.0
71.0	21.0
72.0	39.0
73.0	42.0
74.0	29.0
75.0	23.0
76.0	20.0
77.0	16.0
78.0	19.0
79.0	22.0
80.0	20.0
81.0	14.0
82.0	17.0
83.0	16.0
84.0	3.0
85.0	5.0
86.0	6.0
87.0	6.0
88.0	7.0
89.0	9.0
90.0	14.0
91.0	11.0
92.0	18.0
93.0	15.0
94.0	19.0
95.0	8.0
96.0	15.0
97.0	7.0
98.0	8.0
99.0	11.0
100.0	12.0
101.0	7.0
102.0	12.0
103.0	23.0
104.0	18.0
105.0	16.0
106.0	29.0
107.0	25.0
108.0	33.0
109.0	27.0
110.0	23.0
111.0	9.0
112.0	15.0
113.0	28.0
114.0	18.0
115.0	38.0
116.0	24.0
117.0	19.0
118.0	23.0
119.0	19.0
120.0	19.0
121.0	18.0
122.0	15.0
123.0	24.0
124.0	27.0
125.0	27.0
126.0	25.0
127.0	13.0
128.0	24.0
129.0	17.0
130.0	10.0
131.0	19.0
132.0	17.0
133.0	24.0
134.0	22.0
135.0	13.0
136.0	22.0
137.0	32.0
138.0	31.0
139.0	25.0
140.0	38.0
141.0	29.0
142.0	23.0
143.0	37.0
144.0	49.0
145.0	40.0
146.0	35.0
147.0	19.0
148.0	22.0
149.0	29.0
150.0	38.0
151.0	27.0
152.0	38.0
153.0	45.0
154.0	48.0
155.0	39.0
156.0	44.0
157.0	41.0
158.0	34.0
159.0	61.0
160.0	48.0
161.0	65.0
162.0	46.0
163.0	62.0
164.0	48.0
165.0	53.0
166.0	80.0
167.0	48.0
168.0	31.0
169.0	50.0
170.0	32.0
171.0	48.0
172.0	38.0
173.0	76.0
174.0	54.0
175.0	60.0
176.0	44.0
177.0	45.0
178.0	29.0
179.0	43.0
180.0	32.0
181.0	31.0
182.0	33.0
183.0	36.0
184.0	49.0
185.0	48.0
186.0	37.0
187.0	44.0
188.0	53.0
189.0	57.0
190.0	60.0
191.0	62.0
192.0	51.0
193.0	56.0
194.0	64.0
195.0	58.0
196.0	65.0
197.0	76.0
198.0	78.0
199.0	81.0
200.0	69.0
201.0	65.0
202.0	57.0
203.0	56.0
204.0	58.0
205.0	44.0
206.0	52.0
207.0	66.0
208.0	69.0
209.0	104.0
210.0	65.0
211.0	76.0
212.0	70.0
213.0	57.0
214.0	77.0
215.0	66.0
216.0	60.0
217.0	54.0
218.0	81.0
219.0	73.0
220.0	74.0
221.0	71.0
222.0	59.0
223.0	63.0
224.0	60.0
225.0	57.0
226.0	63.0
227.0	44.0
228.0	68.0
229.0	51.0
230.0	65.0
231.0	44.0
232.0	48.0
233.0	64.0
234.0	62.0
235.0	64.0
236.0	52.0
237.0	56.0
238.0	43.0
239.0	72.0
240.0	82.0
241.0	55.0
242.0	67.0
243.0	43.0
244.0	55.0
245.0	53.0
246.0	77.0
247.0	74.0
248.0	62.0
249.0	61.0
250.0	64.0
251.0	90.0
252.0	103.0
253.0	82.0
254.0	67.0
255.0	84.0
256.0	100.0
257.0	86.0
258.0	72.0
259.0	75.0
260.0	64.0
261.0	79.0
262.0	72.0
263.0	96.0
264.0	90.0
265.0	67.0
266.0	93.0
267.0	84.0
268.0	94.0
269.0	64.0
270.0	78.0
271.0	70.0
272.0	87.0
273.0	68.0
274.0	105.0
275.0	56.0
276.0	66.0
277.0	87.0
278.0	77.0
279.0	86.0
280.0	75.0
281.0	53.0
282.0	68.0
283.0	79.0
284.0	62.0
285.0	70.0
286.0	65.0
287.0	65.0
288.0	82.0
289.0	80.0
290.0	79.0
291.0	90.0
292.0	92.0
293.0	83.0
294.0	101.0
295.0	86.0
296.0	77.0
297.0	81.0
298.0	68.0
299.0	67.0
300.0	91.0
301.0	83.0
302.0	90.0
303.0	61.0
304.0	88.0
305.0	65.0
306.0	85.0
307.0	85.0
308.0	78.0
309.0	74.0
310.0	90.0
311.0	90.0
312.0	72.0
313.0	78.0
314.0	90.0
315.0	80.0
316.0	76.0
317.0	79.0
318.0	78.0
319.0	89.0
320.0	85.0
321.0	83.0
322.0	100.0
323.0	78.0
324.0	69.0
325.0	95.0
326.0	99.0
327.0	92.0
328.0	96.0
329.0	96.0
330.0	110.0
331.0	103.0
332.0	88.0
333.0	94.0
334.0	78.0
335.0	71.0
336.0	90.0
337.0	91.0
338.0	104.0
339.0	114.0
340.0	101.0
341.0	103.0
342.0	103.0
343.0	110.0
344.0	99.0
345.0	112.0
346.0	86.0
347.0	86.0
348.0	78.0
349.0	83.0
350.0	89.0
351.0	83.0
352.0	97.0
353.0	102.0
354.0	99.0
355.0	101.0
356.0	95.0
357.0	88.0
358.0	84.0
359.0	78.0
360.0	92.0
361.0	92.0
362.0	93.0
363.0	112.0
364.0	111.0
365.0	102.0
366.0	98.0
367.0	113.0
368.0	110.0
369.0	90.0
370.0	85.0
371.0	77.0
372.0	75.0
373.0	76.0
374.0	93.0
375.0	76.0
376.0	102.0
377.0	82.0
378.0	93.0
379.0	75.0
380.0	88.0
381.0	87.0
382.0	90.0
383.0	81.0
384.0	86.0
385.0	89.0
386.0	85.0
387.0	71.0
388.0	87.0
389.0	73.0
390.0	78.0
391.0	88.0
392.0	99.0
393.0	93.0
394.0	89.0
395.0	77.0
396.0	88.0
397.0	74.0
398.0	71.0
399.0	73.0
400.0	81.0
401.0	79.0
402.0	76.0
403.0	68.0
404.0	70.0
405.0	77.0
406.0	81.0
407.0	89.0
408.0	86.0
409.0	80.0
410.0	62.0
411.0	69.0
412.0	71.0
413.0	56.0
414.0	72.0
415.0	69.0
416.0	71.0
417.0	65.0
418.0	57.0
419.0	75.0
420.0	80.0
421.0	79.0
422.0	75.0
423.0	74.0
424.0	82.0
425.0	64.0
426.0	60.0
427.0	50.0
428.0	70.0
429.0	64.0
430.0	64.0
431.0	76.0
432.0	81.0
433.0	59.0
434.0	59.0
435.0	66.0
436.0	60.0
437.0	74.0
438.0	49.0
439.0	47.0
440.0	52.0
441.0	74.0
442.0	60.0
443.0	60.0
444.0	59.0
445.0	47.0
446.0	44.0
447.0	48.0
448.0	53.0
449.0	58.0
450.0	45.0
451.0	60.0
452.0	57.0
453.0	58.0
454.0	50.0
455.0	44.0
456.0	58.0
457.0	53.0
458.0	45.0
459.0	45.0
460.0	53.0
461.0	55.0
462.0	55.0
463.0	42.0
464.0	54.0
465.0	46.0
466.0	62.0
467.0	51.0
468.0	71.0
469.0	52.0
470.0	63.0
471.0	51.0
472.0	62.0
473.0	47.0
474.0	55.0
475.0	53.0
476.0	71.0
477.0	51.0
478.0	55.0
479.0	61.0
480.0	46.0
481.0	38.0
482.0	38.0
483.0	59.0
484.0	57.0
485.0	40.0
486.0	42.0
487.0	24.0
488.0	29.0
489.0	32.0
490.0	39.0
491.0	42.0
492.0	54.0
493.0	46.0
494.0	42.0
495.0	44.0
496.0	25.0
497.0	33.0
498.0	23.0
499.0	32.0
500.0	31.0
501.0	35.0
502.0	39.0
503.0	42.0
504.0	23.0
505.0	38.0
506.0	27.0
507.0	23.0
508.0	28.0
509.0	40.0
510.0	30.0
511.0	36.0
512.0	32.0
513.0	50.0
514.0	46.0
515.0	39.0
516.0	37.0
517.0	39.0
518.0	46.0
519.0	40.0
520.0	37.0
521.0	38.0
522.0	34.0
523.0	45.0
524.0	26.0
525.0	40.0
526.0	42.0
527.0	18.0
528.0	33.0
529.0	20.0
530.0	24.0
531.0	26.0
532.0	22.0
533.0	28.0
534.0	20.0
535.0	24.0
536.0	25.0
537.0	22.0
538.0	37.0
539.0	18.0
540.0	19.0
541.0	25.0
542.0	22.0
543.0	30.0
544.0	42.0
545.0	23.0
546.0	32.0
547.0	14.0
548.0	22.0
549.0	19.0
550.0	23.0
551.0	17.0
552.0	20.0
553.0	15.0
554.0	20.0
555.0	19.0
556.0	11.0
557.0	15.0
558.0	25.0
559.0	28.0
560.0	26.0
561.0	29.0
562.0	24.0
563.0	32.0
564.0	26.0
565.0	27.0
566.0	23.0
567.0	20.0
568.0	20.0
569.0	17.0
570.0	16.0
571.0	11.0
572.0	14.0
573.0	9.0
574.0	14.0
575.0	14.0
576.0	17.0
577.0	9.0
578.0	13.0
579.0	11.0
580.0	11.0
581.0	7.0
