#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	5.787706910522051E-5
21.0	0.0
22.0	0.0
23.0	0.0
24.0	5.787706910522051E-5
25.0	5.787706910522051E-5
26.0	0.0
27.0	0.0
28.0	0.0011575413821044104
29.0	0.003935640699154995
30.0	0.008218543812941313
31.0	0.013601111239726817
32.0	0.022745688158351665
33.0	0.029517305243662466
34.0	0.05851371686537794
35.0	0.08478990623914805
36.0	0.11864799166570206
37.0	0.10608866766986921
38.0	0.10603079060076398
39.0	0.101053362657715
40.0	0.08988308832040745
41.0	0.08461627503183239
42.0	0.052089362194698466
43.0	0.02633406644287533
44.0	0.01487440676004167
45.0	0.011112397268202338
46.0	0.013195971755990276
47.0	0.0135432341706216
48.0	0.013890496585252923
49.0	0.006655862947100359
50.0	0.004977427943048964
51.0	0.006134969325153374
52.0	0.004861673804838523
53.0	0.0028938534552610255
54.0	4.051394837365436E-4
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	5.787706910522051E-5
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
