#Coverage (X)	Coverage
1.0	96.78293147844698
2.0	94.73631408219912
3.0	93.23479249573622
4.0	91.49918068421229
5.0	89.04457746714377
6.0	85.89104772096445
7.0	82.64388188476073
8.0	79.71440992542554
9.0	75.81847975119553
10.0	72.22686686954486
11.0	69.27064174163127
12.0	66.18733906297027
13.0	62.43855131592147
14.0	57.65642243253185
15.0	53.63341470755442
16.0	50.11871718556666
17.0	45.94522288733571
18.0	42.958900444771416
19.0	39.70170217035079
20.0	36.74213289636491
21.0	33.949770925994045
22.0	31.43162893355182
23.0	28.615857940674857
24.0	26.044209611075814
25.0	24.265123900611982
26.0	22.1549677289904
27.0	20.38257031067117
28.0	18.901113600642077
29.0	17.305955924154773
30.0	16.011771394174502
31.0	14.567100290940715
32.0	12.560612647560447
33.0	11.323278600809289
34.0	9.975587733672214
35.0	8.999097080560489
36.0	7.9891649667257525
37.0	7.133063572216841
38.0	6.420760458816844
39.0	5.835534896164262
40.0	5.089790322041267
41.0	4.5681035347624
42.0	4.267130388255367
43.0	3.942748219242219
44.0	3.7287228706149875
45.0	3.5414506905661653
46.0	3.350834364445035
47.0	3.013075611142696
48.0	2.665284419623447
49.0	2.4311941945624227
50.0	2.120188609838479
51.0	1.9028191151389535
