#Duplication rate	Coverage
1.0	4047.0
2.0	2415.0
3.0	1524.0
4.0	1201.0
5.0	901.0
6.0	688.0
7.0	566.0
8.0	472.0
9.0	449.0
10.0	368.0
11.0	326.0
12.0	265.0
13.0	235.0
14.0	209.0
15.0	191.0
16.0	169.0
17.0	155.0
18.0	127.0
19.0	118.0
20.0	119.0
21.0	112.0
22.0	113.0
23.0	77.0
24.0	93.0
25.0	74.0
26.0	60.0
27.0	57.0
28.0	75.0
29.0	64.0
30.0	59.0
31.0	48.0
32.0	50.0
33.0	44.0
34.0	38.0
35.0	40.0
36.0	36.0
37.0	39.0
38.0	31.0
39.0	21.0
40.0	22.0
41.0	25.0
42.0	15.0
43.0	27.0
44.0	17.0
45.0	15.0
46.0	23.0
47.0	14.0
48.0	14.0
49.0	15.0
50.0	230.0
