#Insert size (bp)	insert size
20.0	1.0
21.0	1.0
23.0	1.0
24.0	1.0
32.0	1.0
35.0	1.0
37.0	1.0
50.0	1.0
61.0	1.0
63.0	1.0
68.0	1.0
69.0	1.0
74.0	1.0
78.0	1.0
79.0	1.0
80.0	3.0
82.0	1.0
85.0	2.0
87.0	2.0
89.0	2.0
90.0	1.0
92.0	1.0
95.0	2.0
96.0	2.0
97.0	2.0
98.0	1.0
99.0	2.0
100.0	93.0
101.0	111.0
102.0	123.0
103.0	125.0
104.0	155.0
105.0	166.0
106.0	157.0
107.0	175.0
108.0	143.0
109.0	130.0
110.0	136.0
111.0	116.0
112.0	150.0
113.0	149.0
114.0	178.0
115.0	179.0
116.0	180.0
117.0	191.0
118.0	187.0
119.0	157.0
120.0	160.0
121.0	150.0
122.0	147.0
123.0	163.0
124.0	179.0
125.0	180.0
126.0	203.0
127.0	213.0
128.0	174.0
129.0	201.0
130.0	169.0
131.0	178.0
132.0	169.0
133.0	162.0
134.0	191.0
135.0	212.0
136.0	234.0
137.0	250.0
138.0	257.0
139.0	220.0
140.0	199.0
141.0	181.0
142.0	198.0
143.0	210.0
144.0	234.0
145.0	219.0
146.0	252.0
147.0	267.0
148.0	258.0
149.0	265.0
150.0	237.0
151.0	218.0
152.0	251.0
153.0	216.0
154.0	241.0
155.0	242.0
156.0	276.0
157.0	249.0
158.0	291.0
159.0	273.0
160.0	273.0
161.0	261.0
162.0	272.0
163.0	247.0
164.0	222.0
165.0	276.0
166.0	268.0
167.0	278.0
168.0	331.0
169.0	315.0
170.0	296.0
171.0	278.0
172.0	261.0
173.0	280.0
174.0	306.0
175.0	301.0
176.0	296.0
177.0	306.0
178.0	312.0
179.0	304.0
180.0	330.0
181.0	340.0
182.0	325.0
183.0	309.0
184.0	332.0
185.0	304.0
186.0	320.0
187.0	308.0
188.0	350.0
189.0	382.0
190.0	367.0
191.0	337.0
192.0	331.0
193.0	363.0
194.0	325.0
195.0	321.0
196.0	373.0
197.0	380.0
198.0	374.0
199.0	369.0
200.0	387.0
201.0	401.0
202.0	350.0
203.0	369.0
