#Coverage	Number of genomic locations
0.0	53.0
1.0	10.0
2.0	20.0
3.0	27.0
4.0	43.0
5.0	32.0
6.0	15.0
7.0	50.0
8.0	32.0
9.0	54.0
10.0	10.0
11.0	7.0
15.0	3.0
16.0	1.0
17.0	8.0
18.0	3.0
19.0	27.0
20.0	26.0
21.0	23.0
22.0	13.0
23.0	8.0
24.0	17.0
25.0	34.0
26.0	28.0
27.0	40.0
28.0	29.0
29.0	15.0
30.0	36.0
31.0	15.0
32.0	27.0
33.0	19.0
34.0	28.0
35.0	12.0
36.0	44.0
37.0	67.0
38.0	42.0
39.0	46.0
40.0	65.0
41.0	67.0
42.0	19.0
43.0	32.0
44.0	34.0
45.0	37.0
46.0	38.0
47.0	22.0
48.0	23.0
49.0	14.0
50.0	10.0
51.0	8.0
52.0	20.0
53.0	28.0
54.0	3.0
55.0	11.0
56.0	20.0
57.0	15.0
58.0	23.0
59.0	15.0
60.0	6.0
61.0	4.0
62.0	5.0
63.0	6.0
64.0	6.0
65.0	14.0
66.0	14.0
67.0	11.0
68.0	13.0
69.0	15.0
70.0	10.0
71.0	8.0
72.0	6.0
73.0	26.0
74.0	7.0
75.0	17.0
76.0	20.0
77.0	38.0
78.0	35.0
79.0	31.0
80.0	28.0
81.0	36.0
82.0	49.0
83.0	21.0
84.0	26.0
85.0	41.0
86.0	41.0
87.0	29.0
88.0	39.0
89.0	45.0
90.0	34.0
91.0	27.0
92.0	31.0
93.0	22.0
94.0	16.0
95.0	34.0
96.0	28.0
97.0	38.0
98.0	32.0
99.0	19.0
100.0	20.0
101.0	22.0
102.0	22.0
103.0	31.0
104.0	22.0
105.0	23.0
106.0	17.0
107.0	22.0
108.0	12.0
109.0	12.0
110.0	25.0
111.0	15.0
112.0	19.0
113.0	15.0
114.0	17.0
115.0	9.0
116.0	20.0
117.0	26.0
118.0	15.0
119.0	26.0
120.0	14.0
121.0	11.0
122.0	14.0
123.0	10.0
124.0	9.0
125.0	3.0
126.0	6.0
127.0	18.0
128.0	23.0
129.0	10.0
130.0	13.0
131.0	12.0
132.0	14.0
133.0	11.0
134.0	8.0
135.0	18.0
136.0	17.0
137.0	25.0
138.0	14.0
139.0	16.0
140.0	19.0
141.0	10.0
142.0	11.0
143.0	10.0
144.0	21.0
145.0	14.0
146.0	9.0
147.0	24.0
148.0	17.0
149.0	12.0
150.0	12.0
151.0	15.0
152.0	16.0
153.0	14.0
154.0	20.0
155.0	25.0
156.0	19.0
157.0	25.0
158.0	19.0
159.0	21.0
160.0	34.0
161.0	38.0
162.0	42.0
163.0	22.0
164.0	41.0
165.0	26.0
166.0	30.0
167.0	23.0
168.0	26.0
169.0	24.0
170.0	26.0
171.0	36.0
172.0	35.0
173.0	29.0
174.0	39.0
175.0	27.0
176.0	29.0
177.0	25.0
178.0	22.0
179.0	32.0
180.0	18.0
181.0	28.0
182.0	20.0
183.0	26.0
184.0	24.0
185.0	28.0
186.0	17.0
187.0	28.0
188.0	26.0
189.0	28.0
190.0	28.0
191.0	26.0
192.0	34.0
193.0	39.0
194.0	32.0
195.0	27.0
196.0	39.0
197.0	36.0
198.0	43.0
199.0	50.0
200.0	22.0
201.0	16.0
202.0	25.0
203.0	37.0
204.0	27.0
205.0	37.0
206.0	28.0
207.0	25.0
208.0	36.0
209.0	31.0
210.0	32.0
211.0	26.0
212.0	19.0
213.0	23.0
214.0	39.0
215.0	31.0
216.0	41.0
217.0	56.0
218.0	37.0
219.0	28.0
220.0	46.0
221.0	45.0
222.0	37.0
223.0	32.0
224.0	38.0
225.0	50.0
226.0	45.0
227.0	44.0
228.0	41.0
229.0	45.0
230.0	46.0
231.0	42.0
232.0	46.0
233.0	40.0
234.0	45.0
235.0	33.0
236.0	51.0
237.0	44.0
238.0	36.0
239.0	49.0
240.0	44.0
241.0	39.0
242.0	48.0
243.0	49.0
244.0	42.0
245.0	40.0
246.0	47.0
247.0	50.0
248.0	43.0
249.0	29.0
250.0	59.0
251.0	57.0
252.0	59.0
253.0	42.0
254.0	71.0
255.0	50.0
256.0	54.0
257.0	60.0
258.0	55.0
259.0	43.0
260.0	57.0
261.0	72.0
262.0	52.0
263.0	51.0
264.0	36.0
265.0	59.0
266.0	72.0
267.0	63.0
268.0	37.0
269.0	44.0
270.0	56.0
271.0	47.0
272.0	62.0
273.0	50.0
