#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	4.222972972972973E-4
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.001266891891891892
30.0	0.0029560810810810812
31.0	0.005489864864864865
32.0	0.00802364864864865
33.0	0.01393581081081081
34.0	0.01393581081081081
35.0	0.02829391891891892
36.0	0.04645270270270271
37.0	0.0798141891891892
38.0	0.09037162162162164
39.0	0.09712837837837839
40.0	0.2956081081081081
41.0	0.13851351351351354
42.0	0.04265202702702703
43.0	0.026604729729729736
44.0	0.022381756756756757
45.0	0.0071790540540540545
46.0	0.012246621621621625
47.0	0.017314189189189193
48.0	0.0160472972972973
49.0	0.009290540540540543
50.0	0.01097972972972973
51.0	0.005067567567567568
52.0	0.006756756756756757
53.0	4.222972972972973E-4
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	8.445945945945946E-4
