#Coverage	Number of genomic locations
0.0	59.0
1.0	88.0
2.0	70.0
3.0	259.0
4.0	102.0
5.0	178.0
6.0	171.0
7.0	61.0
8.0	161.0
9.0	205.0
10.0	149.0
11.0	152.0
12.0	220.0
13.0	257.0
14.0	326.0
15.0	240.0
16.0	118.0
17.0	240.0
18.0	267.0
19.0	223.0
20.0	311.0
21.0	298.0
22.0	322.0
23.0	350.0
24.0	308.0
25.0	410.0
26.0	254.0
27.0	577.0
28.0	373.0
29.0	373.0
30.0	491.0
31.0	528.0
32.0	425.0
33.0	324.0
34.0	323.0
35.0	423.0
36.0	449.0
37.0	507.0
38.0	586.0
39.0	608.0
40.0	595.0
41.0	610.0
42.0	513.0
43.0	415.0
44.0	421.0
45.0	376.0
46.0	372.0
47.0	376.0
48.0	498.0
49.0	625.0
50.0	598.0
51.0	741.0
52.0	512.0
53.0	612.0
54.0	414.0
55.0	436.0
56.0	331.0
57.0	297.0
58.0	305.0
59.0	277.0
60.0	288.0
61.0	292.0
62.0	388.0
63.0	465.0
64.0	312.0
65.0	314.0
66.0	152.0
67.0	253.0
68.0	255.0
69.0	290.0
70.0	251.0
71.0	269.0
72.0	240.0
73.0	206.0
74.0	234.0
75.0	364.0
76.0	167.0
77.0	175.0
78.0	147.0
79.0	154.0
80.0	129.0
81.0	114.0
82.0	105.0
83.0	53.0
84.0	69.0
85.0	128.0
86.0	67.0
87.0	96.0
88.0	181.0
89.0	184.0
90.0	107.0
91.0	72.0
92.0	68.0
93.0	72.0
94.0	40.0
95.0	30.0
96.0	36.0
97.0	67.0
98.0	44.0
99.0	85.0
100.0	46.0
101.0	55.0
102.0	39.0
103.0	48.0
104.0	78.0
105.0	62.0
106.0	68.0
107.0	66.0
108.0	40.0
109.0	44.0
110.0	28.0
111.0	19.0
112.0	75.0
113.0	31.0
114.0	22.0
115.0	22.0
116.0	36.0
117.0	35.0
118.0	12.0
119.0	40.0
120.0	6.0
121.0	22.0
122.0	50.0
123.0	31.0
124.0	23.0
125.0	34.0
126.0	48.0
127.0	21.0
128.0	33.0
129.0	49.0
130.0	34.0
131.0	29.0
132.0	2.0
133.0	4.0
134.0	7.0
135.0	10.0
136.0	1.0
137.0	12.0
138.0	2.0
140.0	1.0
143.0	2.0
144.0	1.0
145.0	10.0
146.0	6.0
147.0	8.0
148.0	6.0
149.0	18.0
150.0	7.0
151.0	3.0
152.0	1.0
155.0	1.0
156.0	1.0
159.0	2.0
160.0	1.0
161.0	5.0
162.0	3.0
163.0	7.0
164.0	11.0
165.0	1.0
166.0	3.0
167.0	4.0
168.0	5.0
169.0	15.0
170.0	8.0
171.0	37.0
172.0	9.0
173.0	11.0
174.0	8.0
175.0	7.0
176.0	3.0
177.0	4.0
178.0	8.0
179.0	9.0
180.0	13.0
181.0	5.0
182.0	21.0
183.0	11.0
184.0	2.0
185.0	1.0
186.0	11.0
187.0	9.0
188.0	19.0
192.0	2.0
195.0	3.0
240.0	4.0
259.0	5.0
260.0	4.0
261.0	1.0
262.0	8.0
263.0	6.0
264.0	6.0
265.0	2.0
267.0	1.0
269.0	1.0
271.0	2.0
272.0	2.0
273.0	1.0
274.0	2.0
275.0	1.0
276.0	6.0
277.0	4.0
278.0	3.0
279.0	5.0
280.0	12.0
281.0	6.0
282.0	11.0
283.0	2.0
284.0	10.0
285.0	2.0
286.0	4.0
287.0	6.0
290.0	1.0
291.0	1.0
292.0	6.0
293.0	1.0
295.0	2.0
296.0	1.0
297.0	3.0
299.0	14.0
301.0	1.0
302.0	1.0
313.0	11.0
314.0	8.0
315.0	3.0
316.0	1.0
317.0	3.0
318.0	3.0
497.0	1.0
1386.0	1.0
1435.0	1.0
1462.0	1.0
1473.0	1.0
1482.0	1.0
1492.0	1.0
1496.0	4.0
1497.0	1.0
1499.0	1.0
1502.0	1.0
1505.0	1.0
1526.0	1.0
1537.0	1.0
1562.0	1.0
1566.0	1.0
1568.0	1.0
1571.0	3.0
1575.0	1.0
1576.0	1.0
1577.0	9.0
1578.0	3.0
1579.0	4.0
1580.0	1.0
1581.0	3.0
1582.0	1.0
