#Position (bp)	Coverage
38.0	167.58666666666667
113.0	644.8
188.0	683.08
263.0	581.7733333333333
338.0	895.9066666666666
413.0	845.76
488.0	698.6933333333334
563.0	697.6133333333333
638.0	705.3066666666666
713.0	1012.8666666666667
788.0	913.1866666666666
863.0	861.7333333333333
938.0	1063.92
1013.0	988.9466666666667
1088.0	936.6133333333333
1163.0	994.1466666666666
1238.0	869.6133333333333
1313.0	461.32
1388.0	228.94666666666666
1463.0	238.84
1538.0	250.52
1613.0	706.1333333333333
1688.0	748.5066666666667
1763.0	643.4933333333333
1838.0	708.6533333333333
1913.0	956.0
1988.0	665.24
2063.0	656.5066666666667
2138.0	618.08
2213.0	595.92
2288.0	608.4133333333333
2363.0	586.0
2438.0	734.0933333333334
2513.0	648.36
2588.0	537.04
2663.0	454.04
2738.0	470.24
2813.0	516.6133333333333
2888.0	1037.68
2963.0	950.3333333333334
3038.0	1016.1733333333333
3113.0	1052.1466666666668
3188.0	638.56
3263.0	372.2
3338.0	370.12
3413.0	384.8
3488.0	410.7866666666667
3563.0	360.4533333333333
3638.0	342.05333333333334
3713.0	360.73333333333335
3788.0	455.61333333333334
3863.0	485.05333333333334
3938.0	585.9333333333333
4013.0	624.6
4088.0	1248.5466666666666
4163.0	1572.8666666666666
4238.0	1604.96
4313.0	1675.2
4388.0	1441.7733333333333
4463.0	899.32
4538.0	812.8933333333333
4613.0	761.9333333333333
4688.0	747.7733333333333
4763.0	626.1733333333333
4838.0	665.64
4913.0	683.2266666666667
4988.0	591.76
5063.0	466.26666666666665
5138.0	477.05333333333334
5213.0	470.17333333333335
5288.0	908.1733333333333
5363.0	1261.8266666666666
5438.0	1219.5066666666667
5513.0	1222.2666666666667
5588.0	1848.4
5663.0	2226.653333333333
5738.0	2607.1866666666665
5813.0	2048.826666666667
5888.0	1992.92
5963.0	858.2933333333333
6038.0	644.4
6113.0	716.28
6188.0	1244.44
6263.0	1767.64
6338.0	1478.1866666666667
6413.0	1432.2666666666667
6488.0	1723.96
6563.0	1369.8133333333333
6638.0	1330.5066666666667
6713.0	1397.56
6788.0	1387.1466666666668
6863.0	845.4
6938.0	519.9066666666666
7013.0	566.5733333333334
7088.0	598.2
7163.0	546.7333333333333
7238.0	522.2666666666667
7313.0	609.24
7388.0	860.3866666666667
7463.0	869.36
7538.0	867.6533333333333
7613.0	959.2533333333333
7688.0	1550.92
7763.0	1434.1066666666666
7838.0	1282.48
7913.0	1443.7466666666667
7988.0	1674.8133333333333
8063.0	1015.6266666666667
8138.0	1124.3866666666668
8213.0	1171.4133333333334
8288.0	1396.4
8363.0	1055.0666666666666
8438.0	935.8666666666667
8513.0	914.2533333333333
8588.0	1000.84
8663.0	728.9733333333334
8738.0	614.4533333333334
8813.0	631.9866666666667
8888.0	713.64
8963.0	1574.9066666666668
9038.0	1664.4133333333334
9113.0	1802.84
9188.0	1827.68
9263.0	1276.4933333333333
9338.0	1063.2266666666667
9413.0	1115.8133333333333
9488.0	1980.9466666666667
9563.0	3261.84
9638.0	2694.4266666666667
9713.0	2457.6666666666665
9788.0	2252.786666666667
9863.0	791.9066666666666
9938.0	499.14666666666665
10013.0	484.48
10088.0	954.3866666666667
10163.0	2052.7733333333335
10238.0	1937.7733333333333
10313.0	1925.1866666666667
10388.0	2327.4666666666667
10463.0	1144.9066666666668
10538.0	907.1733333333333
10613.0	924.6933333333334
10688.0	1345.08
10763.0	1631.1466666666668
10838.0	1628.4
10913.0	1614.92
10988.0	1714.6933333333334
11063.0	1552.44
11138.0	1239.0666666666666
11213.0	1339.0133333333333
11288.0	1418.3733333333332
11363.0	2406.48
11438.0	1938.04
11513.0	1900.8933333333334
11588.0	2333.693333333333
11663.0	2115.9333333333334
11738.0	1416.5333333333333
11813.0	1304.64
11888.0	1892.0533333333333
11963.0	2240.0933333333332
12038.0	2012.28
12113.0	2161.7066666666665
12188.0	2524.8533333333335
12263.0	1576.4933333333333
12338.0	1533.2533333333333
12413.0	1996.32
12488.0	2399.866666666667
12563.0	2151.826666666667
12638.0	1957.1066666666666
12713.0	2181.346666666667
12788.0	2043.64
12863.0	1769.1466666666668
12938.0	1767.3466666666666
13013.0	2430.5333333333333
13088.0	3793.1066666666666
13163.0	4748.573333333334
13238.0	4642.44
13313.0	4825.106666666667
13388.0	1988.4133333333334
13463.0	1014.9333333333333
13538.0	1017.36
13613.0	1609.28
13688.0	3537.0
13763.0	3757.5466666666666
13838.0	3757.826666666667
13913.0	3096.1066666666666
13988.0	1975.6666666666667
14063.0	1630.0133333333333
14138.0	1721.3466666666666
14213.0	1940.16
14288.0	2243.6266666666666
14363.0	1954.2266666666667
14438.0	1880.5066666666667
14513.0	2065.24
14588.0	1837.7066666666667
14663.0	1534.5333333333333
14738.0	1457.9466666666667
14813.0	1533.4
14888.0	1639.1466666666668
14963.0	1538.0533333333333
15038.0	1496.6933333333334
15113.0	1508.6
15188.0	2359.36
15263.0	3097.68
15338.0	3027.6266666666666
15413.0	2952.9066666666668
15488.0	3471.16
15563.0	3879.1466666666665
15638.0	3660.2933333333335
15713.0	3833.2933333333335
15788.0	3893.5466666666666
15863.0	2906.5466666666666
15938.0	1651.5333333333333
16013.0	1554.7466666666667
16088.0	1687.64
16163.0	1602.9466666666667
16238.0	973.68
16313.0	943.88
16388.0	950.1733333333333
16463.0	999.4533333333334
16538.0	880.0533333333333
16613.0	869.6133333333333
16688.0	926.0266666666666
16763.0	1178.2666666666667
16838.0	1559.1866666666667
16913.0	1616.8266666666666
16988.0	1560.64
17063.0	1906.2533333333333
17138.0	2877.1866666666665
17213.0	2916.306666666667
17288.0	2538.306666666667
17363.0	2814.0666666666666
17438.0	2589.5066666666667
17513.0	1971.84
17588.0	1835.56
17663.0	2059.3333333333335
17738.0	1547.52
17813.0	1077.0
17888.0	1013.0666666666667
17963.0	1104.48
18038.0	1690.1066666666666
18113.0	1849.8533333333332
18188.0	1774.96
18263.0	1876.1866666666667
18338.0	1594.0
18413.0	1264.1866666666667
18488.0	1235.7466666666667
18563.0	1230.2266666666667
18638.0	2281.0666666666666
18713.0	2374.24
18788.0	2589.2933333333335
18863.0	2638.4
18938.0	2473.68
19013.0	1496.6533333333334
19088.0	1475.4
19163.0	1338.7866666666666
19238.0	1338.5866666666666
19313.0	793.7466666666667
19388.0	752.3866666666667
19463.0	755.6533333333333
19538.0	764.1066666666667
19613.0	890.48
19688.0	903.5466666666666
19763.0	934.9066666666666
19838.0	1019.52
19913.0	1046.32
19988.0	915.56
20063.0	918.8266666666667
20138.0	909.92
20213.0	867.5066666666667
20288.0	762.3733333333333
20363.0	751.24
20438.0	772.56
20513.0	1947.3866666666668
20588.0	1806.2266666666667
20663.0	1900.6933333333334
