#Position (bp)	Coverage
38.0	6318.746666666667
113.0	25172.76
188.0	37428.986666666664
263.0	44070.0
338.0	70511.45333333334
413.0	107604.42666666667
488.0	142985.45333333334
563.0	263588.30666666664
638.0	371332.6
713.0	345496.4533333333
788.0	357971.06666666665
863.0	386010.0266666667
938.0	411126.82666666666
1013.0	401180.9733333333
1088.0	410444.94666666666
1163.0	410229.58666666667
1238.0	409843.82666666666
1313.0	405546.6666666667
1388.0	410947.84
1463.0	411046.93333333335
1538.0	411161.3466666667
1613.0	415084.5466666667
1688.0	419910.9733333333
1763.0	421560.96
1838.0	421656.30666666664
1913.0	418276.64
1988.0	415125.2
2063.0	414580.0133333333
2138.0	414473.85333333333
2213.0	415701.7866666667
2288.0	417717.37333333335
2363.0	418527.76
2438.0	418852.85333333333
2513.0	418573.5333333333
2588.0	421637.41333333333
2663.0	425546.5466666667
2738.0	426149.64
2813.0	420576.76
2888.0	417469.13333333336
2963.0	416870.2
3038.0	416681.5466666667
3113.0	415907.74666666664
3188.0	414836.64
3263.0	415349.44
3338.0	416510.61333333334
3413.0	416301.52
3488.0	416140.69333333336
3563.0	415714.49333333335
3638.0	415572.84
3713.0	415368.70666666667
3788.0	416258.7866666667
3863.0	420461.9866666667
3938.0	424873.32
4013.0	426133.84
4088.0	430615.26666666666
4163.0	438191.94666666666
4238.0	441279.4533333333
4313.0	438389.0933333333
4388.0	431842.86666666664
4463.0	427897.64
4538.0	435374.85333333333
4613.0	434784.12
4688.0	435079.25333333336
4763.0	440281.5733333333
4838.0	443189.1066666667
4913.0	441363.14666666667
4988.0	434744.13333333336
5063.0	431216.68
5138.0	431095.68
5213.0	430131.61333333334
5288.0	431598.4533333333
5363.0	435429.76
5438.0	436779.17333333334
5513.0	436063.4666666667
5588.0	434170.18666666665
5663.0	433700.18666666665
5738.0	434306.5333333333
5813.0	433372.18666666665
5888.0	431462.28
5963.0	429774.17333333334
6038.0	429269.14666666667
6113.0	429396.28
6188.0	433269.6
6263.0	445510.49333333335
6338.0	467421.44
6413.0	466492.9733333333
6488.0	462068.4
6563.0	465552.94666666666
6638.0	469216.3333333333
6713.0	468920.9066666667
6788.0	464228.38666666666
6863.0	457920.17333333334
6938.0	455856.37333333335
7013.0	456491.9733333333
7088.0	464621.68
7163.0	481349.9733333333
7238.0	487037.93333333335
7313.0	482636.93333333335
7388.0	476256.0133333333
7463.0	474739.4
7538.0	474875.58666666667
7613.0	495416.5466666667
7688.0	499179.64
7763.0	499844.96
7838.0	499631.74666666664
7913.0	499551.9066666667
7988.0	510011.38666666666
8063.0	523730.36
8138.0	532432.2266666667
8213.0	559683.64
8288.0	551082.8933333333
8363.0	542189.2933333333
8438.0	542299.8933333333
8513.0	542878.3066666666
8588.0	540251.2266666667
8663.0	537088.0266666666
8738.0	536687.4
8813.0	537003.16
8888.0	538431.52
8963.0	545479.2666666667
9038.0	551639.7466666667
9113.0	553496.8
9188.0	549720.8533333334
9263.0	556544.48
9338.0	574068.1866666666
9413.0	575611.0
9488.0	579250.6133333333
9563.0	585200.7333333333
9638.0	590344.7733333333
9713.0	597379.5466666666
9788.0	593834.4533333334
9863.0	610880.6933333334
9938.0	632518.24
10013.0	631899.5733333334
10088.0	632562.3066666666
10163.0	635686.7466666667
10238.0	638487.8533333334
10313.0	638079.7333333333
10388.0	634489.9866666667
10463.0	630115.96
10538.0	630692.6266666667
10613.0	630898.44
10688.0	637562.3066666666
10763.0	653574.9333333333
10838.0	663968.12
10913.0	672414.2666666667
10988.0	670840.52
11063.0	663150.76
11138.0	660108.44
11213.0	659850.72
11288.0	660872.0266666666
11363.0	671939.76
11438.0	682143.52
11513.0	685795.16
11588.0	693433.0133333333
11663.0	683733.1066666667
11738.0	685277.8133333334
11813.0	685752.24
11888.0	690689.9866666667
11963.0	702054.52
12038.0	710268.6666666666
12113.0	708903.6533333333
12188.0	699722.7466666667
12263.0	691283.84
12338.0	690235.5466666666
12413.0	692483.6933333334
12488.0	703534.2133333334
12563.0	714897.32
12638.0	730419.56
12713.0	748485.9466666667
12788.0	756997.5066666667
12863.0	781518.08
12938.0	800164.52
13013.0	818870.3466666667
13088.0	820894.0533333333
13163.0	829489.2933333333
13238.0	850584.32
13313.0	857283.12
13388.0	871745.3333333334
13463.0	894975.52
13538.0	892791.8533333334
13613.0	888150.3733333333
13688.0	888429.9066666666
13763.0	895586.3733333333
13838.0	914169.5733333334
13913.0	926766.32
13988.0	940967.5333333333
14063.0	953733.3733333333
14138.0	927658.48
14213.0	915344.7866666666
14288.0	908861.1066666667
14363.0	909361.6933333334
14438.0	908970.44
14513.0	901916.12
14588.0	901220.2666666667
14663.0	909767.8666666667
14738.0	901144.4266666666
14813.0	905565.7066666667
14888.0	895164.6933333334
14963.0	889448.5466666666
15038.0	890343.5066666667
15113.0	890507.9733333334
15188.0	900828.4266666666
15263.0	928977.6666666666
15338.0	947131.8533333334
15413.0	958979.9066666666
15488.0	906077.08
15563.0	859983.64
15638.0	860002.5866666667
15713.0	853161.8266666667
15788.0	843369.4933333333
15863.0	837937.84
15938.0	851529.24
16013.0	859242.68
16088.0	858361.1466666666
16163.0	850706.08
16238.0	847978.3333333334
16313.0	848079.3733333333
16388.0	846585.76
16463.0	842613.0533333333
16538.0	845007.0933333334
16613.0	891459.5733333334
16688.0	928019.1466666666
16763.0	920391.4533333334
16838.0	922253.88
16913.0	930920.8
16988.0	936869.0266666666
17063.0	952740.1866666666
17138.0	1003596.1733333333
17213.0	1002522.72
17288.0	979045.2266666667
17363.0	986787.4533333334
17438.0	1026334.6533333333
17513.0	1103504.12
17588.0	1110153.16
17663.0	1114881.9466666668
17738.0	1103023.52
17813.0	1098301.6
17888.0	1098183.36
17963.0	1100139.1333333333
18038.0	1108899.0266666666
18113.0	1106828.6266666667
18188.0	1074646.5866666667
18263.0	1046115.2266666667
18338.0	1034189.52
18413.0	1067552.6933333334
18488.0	1069674.1333333333
18563.0	1071882.4133333333
18638.0	1055480.0
18713.0	1051067.3333333333
18788.0	1051329.5466666666
18863.0	1050724.8933333333
18938.0	1053262.6
19013.0	1056558.92
19088.0	1056785.6133333333
19163.0	1055535.32
19238.0	1048832.4
19313.0	1033603.5866666667
19388.0	1033429.1066666667
19463.0	1033828.12
19538.0	1032654.2266666667
19613.0	1030554.08
19688.0	1029913.6133333333
19763.0	1029923.8
19838.0	1030465.8
19913.0	1032037.8933333333
19988.0	1032741.2933333333
20063.0	1032243.2533333333
20138.0	1032390.3333333334
20213.0	1031733.0266666666
20288.0	1030605.5866666667
20363.0	1030610.2266666667
20438.0	1030664.0533333333
20513.0	1034462.3333333334
20588.0	1038604.3733333333
20663.0	1040816.4533333334
20738.0	1040962.3466666667
20813.0	1035679.8666666667
20888.0	1029881.36
20963.0	1029438.72
21038.0	1029336.32
21113.0	1030239.3733333333
21188.0	1030956.2933333333
21263.0	1030708.16
21338.0	1030825.8533333334
21413.0	1035028.92
21488.0	1041621.9333333333
21563.0	1043602.5466666666
21638.0	1040480.7466666667
21713.0	1037866.7066666667
21788.0	1040171.0933333334
21863.0	1041993.36
21938.0	1039777.7066666667
22013.0	1045674.8266666667
22088.0	1044927.4666666667
22163.0	1045002.9733333334
22238.0	1045462.4133333333
22313.0	1051706.56
22388.0	1058227.2533333334
22463.0	1060293.96
