#Position (bp)	mapping quality
38.0	59.98480734724714
113.0	59.97907646677803
188.0	59.99828841739962
263.0	59.99794843376923
338.0	59.99217459930742
413.0	59.995785624033715
488.0	59.96435263470591
563.0	60.0
638.0	59.94679152921145
713.0	59.942136140802056
788.0	60.0
863.0	60.0
938.0	60.0
1013.0	60.0
1088.0	60.0
1163.0	60.0
1238.0	60.0
1313.0	60.0
1388.0	60.0
1463.0	60.0
1538.0	60.0
1613.0	60.0
1688.0	59.99721189591078
1763.0	59.98293515358362
1838.0	49.85828842473554
1913.0	39.99135686520921
1988.0	59.93254216114928
2063.0	60.0
2138.0	60.0
2213.0	59.94626865671642
2288.0	60.0
2363.0	60.0
2438.0	60.0
2513.0	60.0
2588.0	60.0
2663.0	60.0
2738.0	60.0
2813.0	60.0
2888.0	19.958506287041182
2963.0	60.0
3038.0	60.0
3113.0	59.990945600584155
3188.0	59.97287277330681
3263.0	60.0
3338.0	60.0
3413.0	60.0
3488.0	59.990107172300085
3563.0	60.0
3638.0	60.0
3713.0	60.0
3788.0	60.0
3863.0	59.985003749062734
3938.0	59.98230871295887
4013.0	60.0
4088.0	59.9816580537157
4163.0	59.99592058743541
4238.0	60.0
4313.0	49.793329867429165
4388.0	60.0
4463.0	60.0
4538.0	60.0
4613.0	60.0
4688.0	33.04369714420238
4763.0	60.0
4838.0	60.0
4913.0	60.0
4988.0	60.0
5063.0	60.0
5138.0	59.926017262638716
5213.0	60.0
5288.0	60.0
5363.0	60.0
5438.0	60.0
5513.0	60.0
5588.0	59.741588569672764
5663.0	59.976169198689306
5738.0	60.0
5813.0	60.0
5888.0	59.940648303150205
5963.0	60.0
6038.0	60.0
6113.0	60.0
6188.0	59.62769349892515
6263.0	59.99119820628014
6338.0	59.99234931048808
6413.0	59.9906176942622
6488.0	59.9861478344667
6563.0	59.96380033741196
6638.0	60.0
6713.0	60.0
6788.0	60.0
6863.0	60.0
6938.0	60.0
7013.0	60.0
7088.0	60.0
7163.0	60.0
7238.0	60.0
7313.0	60.0
7388.0	60.0
7463.0	60.0
7538.0	60.0
7613.0	60.0
7688.0	60.0
7763.0	60.0
7838.0	60.0
7913.0	60.0
7988.0	60.0
8063.0	59.99568531569107
8138.0	59.98906705539358
8213.0	60.0
8288.0	60.0
8363.0	60.0
8438.0	60.0
8513.0	60.0
8588.0	60.0
8663.0	60.0
8738.0	60.0
8813.0	60.0
8888.0	60.0
8963.0	59.97874601487779
9038.0	60.0
9113.0	60.0
9188.0	60.0
9263.0	60.0
9338.0	60.0
9413.0	60.0
9488.0	60.0
9563.0	60.0
9638.0	60.0
9713.0	59.98922026590011
9788.0	59.97871963114027
9863.0	60.0
9938.0	60.0
10013.0	60.0
10088.0	60.0
10163.0	60.0
10238.0	60.0
10313.0	60.0
10388.0	59.97830018083182
10463.0	60.0
10538.0	59.9895606785559
10613.0	60.0
10688.0	60.0
10763.0	59.9921031850487
10838.0	60.0
10913.0	59.98976807639836
10988.0	59.9822918306312
11063.0	59.91590785931934
11138.0	59.98971317106684
11213.0	59.990227814084164
11288.0	59.998622562427435
11363.0	59.99535812267294
11438.0	60.0
11513.0	59.99359590137688
11588.0	60.0
11663.0	59.996632476953515
11738.0	59.99798495432563
11813.0	60.0
11888.0	59.96126584279729
11963.0	59.997617061837246
12038.0	59.99508693397385
12113.0	59.99697466280096
12188.0	59.996587030716725
12263.0	60.0
12338.0	0.0
12413.0	60.0
12488.0	60.0
12563.0	60.0
12638.0	60.0
12713.0	59.98621640248105
12788.0	60.0
12863.0	60.0
12938.0	60.0
13013.0	60.0
13088.0	59.99415090660948
13163.0	60.0
13238.0	60.0
13313.0	59.90598067380517
13388.0	60.0
13463.0	60.0
13538.0	60.0
13613.0	60.0
13688.0	59.3203167667941
13763.0	60.0
13838.0	60.0
13913.0	59.989426858358584
13988.0	59.99659770475929
14063.0	59.9988551803091
14138.0	59.998741764675046
14213.0	59.99763225718687
14288.0	59.992476123725964
14363.0	60.0
14438.0	60.0
14513.0	60.0
14588.0	59.999203049663286
14663.0	59.981120973371894
14738.0	59.990296319627845
14813.0	59.99939639648703
14888.0	59.995608271089445
14963.0	60.0
15038.0	60.0
15113.0	60.0
15188.0	60.0
15263.0	60.0
15338.0	60.0
15413.0	60.0
15488.0	60.0
15563.0	59.98325117527264
15638.0	59.99540713807291
15713.0	59.99348802882633
15788.0	59.988293368193084
15863.0	59.99432137945626
15938.0	59.99512341815876
16013.0	59.99829287607703
16088.0	59.993100937122705
16163.0	59.99755429465858
16238.0	60.0
16313.0	60.0
16388.0	60.0
16463.0	60.0
16538.0	60.0
16613.0	60.0
16688.0	60.0
16763.0	60.0
16838.0	60.0
16913.0	60.0
16988.0	60.0
17063.0	60.0
17138.0	60.0
17213.0	60.0
17288.0	60.0
17363.0	60.0
17438.0	60.0
17513.0	60.0
17588.0	60.0
17663.0	60.0
17738.0	60.0
17813.0	60.0
17888.0	60.0
17963.0	60.0
18038.0	60.0
18113.0	60.0
18188.0	60.0
18263.0	60.0
18338.0	60.0
18413.0	60.0
18488.0	60.0
18563.0	60.0
18638.0	60.0
18713.0	60.0
18788.0	60.0
18863.0	59.99621621621622
18938.0	59.993943882313246
19013.0	59.997989549689365
19088.0	59.99969114629272
19163.0	59.99082747629476
19238.0	59.98823547792394
19313.0	59.99076261513551
19388.0	60.0
19463.0	60.0
19538.0	59.945781749465766
19613.0	59.990594585476934
19688.0	59.99780819916164
19763.0	59.99867361984619
19838.0	59.99790531561075
19913.0	59.993891854632174
19988.0	60.0
20063.0	60.0
20138.0	60.0
20213.0	59.91930318944537
20288.0	59.97484159522922
20363.0	60.0
20438.0	60.0
20513.0	59.96868475991649
20588.0	60.0
20663.0	59.97826283851101
20738.0	59.97842308729659
20813.0	59.76320777912612
20888.0	59.99531758655033
20963.0	59.998479439854606
21038.0	59.989080664550954
21113.0	59.99741660462973
21188.0	59.99102432879301
21263.0	60.0
21338.0	59.993935776530975
21413.0	59.997947364167764
21488.0	59.992902711952624
21563.0	59.998952651101895
21638.0	59.995607006011895
21713.0	59.98714498051661
21788.0	60.0
21863.0	59.99620996778473
21938.0	60.0
22013.0	59.994641102741966
22088.0	59.99817767653759
22163.0	60.0
22238.0	59.995682521407495
22313.0	59.99545540617307
22388.0	60.0
22463.0	60.0
22538.0	59.98440285204991
22613.0	59.99130917750855
22688.0	59.996030248099125
22763.0	59.99802561761149
22838.0	59.99631296175046
22913.0	59.98839365240943
22988.0	59.99679825607139
23063.0	59.94955473200952
23138.0	59.98812120471836
23213.0	59.99684153534347
23288.0	59.99488987593145
23363.0	59.99573541237802
23438.0	59.9960534148076
23513.0	59.98046384406282
23588.0	60.0
23663.0	60.0
23738.0	60.0
23813.0	60.0
23888.0	60.0
23963.0	0.0
24038.0	0.0
24113.0	0.0
24188.0	0.0
24263.0	0.0
24338.0	0.0
24413.0	60.0
24488.0	60.0
24563.0	60.0
24638.0	60.0
24713.0	59.91167258300271
24788.0	59.98593451632434
24863.0	59.99860390441399
24938.0	60.0
25013.0	60.0
25088.0	60.0
25163.0	60.0
25238.0	60.0
25313.0	60.0
25388.0	60.0
25463.0	59.99590685828634
25538.0	59.99721958340091
25613.0	59.99614643545279
25688.0	59.97968208437911
25763.0	59.995370370370374
25838.0	59.995075913007796
25913.0	59.98973305954826
25988.0	60.0
26063.0	60.0
26138.0	60.0
26213.0	60.0
26288.0	60.0
26363.0	60.0
26438.0	60.0
26513.0	59.9604743083004
26588.0	59.80916030534351
26663.0	59.763266916551586
26738.0	59.984682154710235
26813.0	60.0
26888.0	60.0
26963.0	59.9955879108758
27038.0	60.0
27113.0	59.982430025134825
27188.0	59.99375021700635
27263.0	60.0
27338.0	60.0
27413.0	60.0
27488.0	60.0
27563.0	60.0
27638.0	60.0
27713.0	60.0
27788.0	60.0
27863.0	60.0
27938.0	60.0
28013.0	59.96192893401015
28088.0	59.99322030886247
28163.0	59.99469313723439
28238.0	59.99772456896658
28313.0	59.99327059121657
28388.0	59.97432988153073
28463.0	59.979862828676175
28538.0	60.0
28613.0	60.0
28688.0	59.99250912949842
28763.0	59.99450139428931
28838.0	59.996937173777106
28913.0	60.0
28988.0	59.987796196481234
29063.0	59.95967935486968
29138.0	60.0
29213.0	60.0
29288.0	60.0
29363.0	60.0
29438.0	60.0
29513.0	60.0
29588.0	60.0
29663.0	60.0
29738.0	0.0
29813.0	0.0
29877.0	8.999679506515443
