#Position (bp)	insert size
38.0	3853.090909090909
113.0	0.0
188.0	0.0
263.0	0.0
338.0	400.29411764705884
413.0	0.0
488.0	0.0
563.0	0.0
638.0	381.56
713.0	0.0
788.0	0.0
863.0	0.0
938.0	388.6666666666667
1013.0	0.0
1088.0	0.0
1163.0	0.0
1238.0	402.1875
1313.0	0.0
1388.0	0.0
1463.0	0.0
1538.0	387.6363636363636
1613.0	385.875
1688.0	0.0
1763.0	0.0
1838.0	0.0
1913.0	388.4166666666667
1988.0	0.0
2063.0	0.0
2138.0	0.0
2213.0	406.8
2288.0	0.0
2363.0	218.0
2438.0	0.0
2513.0	395.47058823529414
2588.0	0.0
2663.0	0.0
2738.0	0.0
2813.0	379.3636363636364
2888.0	0.0
2963.0	0.0
3038.0	0.0
3113.0	381.0740740740741
3188.0	378.27272727272725
3263.0	0.0
3338.0	229.0
3413.0	0.0
3488.0	387.3333333333333
3563.0	0.0
3638.0	0.0
3713.0	0.0
3788.0	387.4
3863.0	0.0
3938.0	0.0
4013.0	0.0
4088.0	392.4117647058824
4163.0	0.0
4238.0	0.0
4313.0	398.2857142857143
4388.0	0.0
4463.0	0.0
4538.0	0.0
4613.0	377.1818181818182
4688.0	0.0
4763.0	0.0
4838.0	0.0
4913.0	378.1764705882353
4988.0	0.0
5063.0	0.0
5138.0	0.0
5213.0	406.7647058823529
5288.0	0.0
5363.0	0.0
5438.0	0.0
5513.0	0.0
5588.0	389.42857142857144
5663.0	0.0
5738.0	0.0
5813.0	0.0
5888.0	401.125
5963.0	0.0
6038.0	0.0
6113.0	0.0
6188.0	378.0869565217391
6263.0	0.0
6338.0	0.0
6413.0	0.0
6488.0	402.5238095238095
6563.0	0.0
6638.0	0.0
6713.0	379.7692307692308
6788.0	0.0
6863.0	0.0
6938.0	0.0
7013.0	375.875
7088.0	0.0
7163.0	0.0
7238.0	0.0
7313.0	385.7368421052632
7388.0	277.0
7463.0	0.0
7538.0	0.0
7613.0	389.0
7688.0	0.0
7763.0	0.0
7838.0	0.0
7913.0	393.2857142857143
7988.0	368.5
8063.0	0.0
8138.0	0.0
8213.0	407.3333333333333
8288.0	407.5
8363.0	0.0
8438.0	0.0
8513.0	0.0
8588.0	382.0769230769231
8663.0	0.0
8738.0	0.0
8813.0	0.0
8888.0	376.0
8963.0	0.0
9038.0	0.0
9113.0	0.0
9188.0	377.0
9263.0	0.0
9338.0	0.0
9413.0	0.0
9488.0	376.8
9563.0	0.0
9638.0	0.0
9713.0	0.0
9788.0	383.0
9863.0	0.0
9938.0	0.0
10013.0	0.0
10088.0	378.95652173913044
10163.0	0.0
10238.0	0.0
10313.0	0.0
10388.0	396.3
10463.0	0.0
10538.0	0.0
10613.0	0.0
10688.0	401.56
10763.0	0.0
10838.0	0.0
10913.0	0.0
10988.0	391.8
11063.0	368.0
11138.0	0.0
11213.0	0.0
11288.0	353.90909090909093
11363.0	0.0
11438.0	0.0
11513.0	0.0
11588.0	390.36842105263156
11663.0	0.0
11738.0	0.0
11813.0	0.0
11888.0	387.25
11963.0	0.0
12038.0	0.0
12113.0	375.8333333333333
12188.0	340.0
12263.0	0.0
12338.0	0.0
12413.0	381.59090909090907
12488.0	0.0
12563.0	0.0
12638.0	0.0
12713.0	382.5
12788.0	0.0
12863.0	0.0
12938.0	0.0
13013.0	387.6842105263158
13088.0	0.0
13163.0	0.0
13238.0	0.0
13313.0	376.2352941176471
13388.0	0.0
13463.0	0.0
13538.0	0.0
13613.0	381.05263157894734
13688.0	0.0
13763.0	0.0
13838.0	0.0
13913.0	376.7826086956522
13988.0	0.0
14063.0	0.0
14138.0	0.0
14213.0	389.9130434782609
14288.0	351.0
14363.0	0.0
14438.0	0.0
14513.0	377.0
14588.0	370.46153846153845
14663.0	0.0
14738.0	0.0
14813.0	0.0
14888.0	375.84615384615387
14963.0	0.0
15038.0	0.0
15113.0	0.0
15188.0	384.6666666666667
15263.0	0.0
15338.0	0.0
15413.0	0.0
15488.0	387.2916666666667
15563.0	0.0
15638.0	0.0
15713.0	0.0
15788.0	0.0
15863.0	377.72222222222223
15938.0	0.0
16013.0	0.0
16088.0	389.0
16163.0	384.0
16238.0	0.0
16313.0	0.0
16388.0	393.1875
16463.0	0.0
16538.0	0.0
16613.0	0.0
16688.0	0.0
16763.0	398.8
16838.0	0.0
16913.0	0.0
16988.0	0.0
17063.0	380.0869565217391
17138.0	0.0
17213.0	0.0
17288.0	0.0
17363.0	374.14285714285717
17438.0	0.0
17513.0	0.0
17588.0	0.0
17663.0	383.6190476190476
17738.0	0.0
17813.0	0.0
17888.0	0.0
17963.0	376.5
18038.0	0.0
18113.0	0.0
18188.0	0.0
18263.0	414.40909090909093
18338.0	364.0
18413.0	0.0
18488.0	0.0
18563.0	379.88235294117646
18638.0	371.0
18713.0	0.0
18788.0	0.0
18863.0	396.72222222222223
18938.0	394.5
19013.0	0.0
19088.0	0.0
19163.0	0.0
19238.0	407.1818181818182
19313.0	0.0
19388.0	0.0
19463.0	0.0
19538.0	387.9375
19613.0	0.0
19688.0	0.0
19763.0	0.0
19838.0	407.8666666666667
19913.0	0.0
19988.0	0.0
20063.0	0.0
20138.0	398.4
20213.0	385.0
20288.0	0.0
20363.0	0.0
20438.0	415.2
20513.0	400.6
20588.0	0.0
20663.0	0.0
20738.0	0.0
20813.0	377.0416666666667
20888.0	0.0
20963.0	0.0
21038.0	0.0
21113.0	376.5
21188.0	0.0
21263.0	0.0
21338.0	381.4736842105263
21413.0	0.0
21488.0	0.0
21563.0	0.0
21638.0	376.3125
21713.0	0.0
21788.0	0.0
21863.0	0.0
21938.0	380.2631578947368
22013.0	371.0
22088.0	0.0
22163.0	0.0
22238.0	386.0
22313.0	346.0
22388.0	0.0
22463.0	0.0
22538.0	366.72222222222223
22613.0	0.0
22688.0	0.0
22763.0	415.4166666666667
22838.0	410.6666666666667
22913.0	0.0
22988.0	0.0
23063.0	0.0
23138.0	396.04545454545456
23213.0	0.0
23288.0	0.0
23363.0	0.0
23438.0	399.45
23513.0	0.0
23588.0	0.0
23663.0	0.0
23738.0	410.0
23813.0	376.0
23888.0	0.0
23963.0	0.0
24038.0	0.0
24113.0	384.92857142857144
24188.0	0.0
24263.0	0.0
24338.0	0.0
24413.0	393.8235294117647
24488.0	0.0
24563.0	0.0
24638.0	0.0
24713.0	374.2857142857143
24788.0	0.0
24863.0	0.0
24938.0	0.0
25013.0	386.7391304347826
25088.0	0.0
25163.0	0.0
25238.0	0.0
25313.0	387.9375
25388.0	0.0
25463.0	0.0
25538.0	0.0
25613.0	388.89473684210526
25688.0	0.0
25763.0	223.0
25838.0	0.0
25913.0	409.1111111111111
25988.0	342.0
26063.0	0.0
26138.0	0.0
26213.0	387.45
26288.0	0.0
26363.0	0.0
26438.0	0.0
26513.0	389.4
26588.0	339.0
26663.0	0.0
26738.0	0.0
26813.0	282.44
26888.0	0.0
26963.0	0.0
27038.0	0.0
27113.0	386.8666666666667
27188.0	383.0
27263.0	0.0
27338.0	0.0
27413.0	405.44444444444446
27488.0	399.22222222222223
27563.0	0.0
27638.0	0.0
27713.0	0.0
27788.0	385.8
27863.0	0.0
27938.0	0.0
28013.0	0.0
28088.0	377.5217391304348
28163.0	338.0
28238.0	0.0
28313.0	0.0
28388.0	380.93333333333334
28463.0	0.0
28538.0	0.0
28613.0	0.0
28688.0	382.6875
28763.0	298.0
28838.0	0.0
28913.0	0.0
28988.0	388.90909090909093
29063.0	349.0
29138.0	0.0
29213.0	0.0
29288.0	401.1666666666667
29363.0	0.0
29438.0	0.0
29513.0	374.48148148148147
29588.0	0.0
29663.0	0.0
29738.0	0.0
29813.0	0.0
29877.0	0.0
