#Position (bp)	Coverage
38.0	28.96
113.0	142.81333333333333
188.0	224.08
263.0	234.14666666666668
338.0	197.58666666666667
413.0	274.94666666666666
488.0	362.1066666666667
563.0	306.36
638.0	310.7866666666667
713.0	961.5066666666667
788.0	1598.32
863.0	1693.9733333333334
938.0	1126.24
1013.0	376.25333333333333
1088.0	213.10666666666665
1163.0	198.36
1238.0	156.84
1313.0	68.54666666666667
1388.0	25.373333333333335
1463.0	24.666666666666668
1538.0	15.32
1613.0	1762.24
1688.0	4756.413333333333
1763.0	6626.546666666667
1838.0	5322.653333333334
1913.0	1923.52
1988.0	81.13333333333334
2063.0	42.733333333333334
2138.0	40.13333333333333
2213.0	44.28
2288.0	41.29333333333334
2363.0	44.28
2438.0	41.89333333333333
2513.0	37.053333333333335
2588.0	12.093333333333334
2663.0	3.986666666666667
2738.0	5.306666666666667
2813.0	7.533333333333333
2888.0	39.44
2963.0	51.346666666666664
3038.0	58.88
3113.0	54.86666666666667
3188.0	19.586666666666666
3263.0	4.1866666666666665
3338.0	5.253333333333333
3413.0	6.733333333333333
3488.0	106.16
3563.0	279.14666666666665
3638.0	411.3066666666667
3713.0	348.36
3788.0	170.90666666666667
3863.0	33.906666666666666
3938.0	18.706666666666667
4013.0	23.973333333333333
4088.0	1116.8133333333333
4163.0	3664.213333333333
4238.0	4563.733333333334
4313.0	2948.5466666666666
4388.0	1072.3466666666666
4463.0	16.653333333333332
4538.0	16.386666666666667
4613.0	15.56
4688.0	17.68
4763.0	19.813333333333333
4838.0	20.85333333333333
4913.0	22.666666666666668
4988.0	16.72
5063.0	10.6
5138.0	11.813333333333333
5213.0	14.76
5288.0	19.68
5363.0	39.29333333333334
5438.0	44.93333333333333
5513.0	44.29333333333334
5588.0	110.26666666666667
5663.0	243.34666666666666
5738.0	314.7866666666667
5813.0	262.2133333333333
5888.0	166.49333333333334
5963.0	84.8
6038.0	83.21333333333334
6113.0	78.25333333333333
6188.0	72.17333333333333
6263.0	31.053333333333335
6338.0	16.453333333333333
6413.0	17.12
6488.0	50.373333333333335
6563.0	116.4
6638.0	137.09333333333333
6713.0	128.02666666666667
6788.0	95.97333333333333
6863.0	30.786666666666665
6938.0	10.453333333333333
7013.0	13.773333333333333
7088.0	74.98666666666666
7163.0	118.41333333333333
7238.0	117.41333333333333
7313.0	96.56
7388.0	42.72
7463.0	14.346666666666666
7538.0	14.6
7613.0	18.506666666666668
7688.0	47.38666666666666
7763.0	59.54666666666667
7838.0	68.89333333333333
7913.0	70.6
7988.0	1192.2533333333333
8063.0	2717.88
8138.0	3136.4
8213.0	2641.64
8288.0	2104.0933333333332
8363.0	2994.0266666666666
8438.0	3801.7733333333335
8513.0	3274.0
8588.0	1756.7733333333333
8663.0	256.46666666666664
8738.0	8.013333333333334
8813.0	9.0
8888.0	368.74666666666667
8963.0	3249.8133333333335
9038.0	6060.693333333334
9113.0	6348.266666666666
9188.0	3823.28
9263.0	711.04
9338.0	86.48
9413.0	80.32
9488.0	580.9466666666667
9563.0	3067.266666666667
9638.0	4812.8
9713.0	4184.4
9788.0	2073.0666666666666
9863.0	300.37333333333333
9938.0	111.46666666666667
10013.0	108.52
10088.0	100.78666666666666
10163.0	107.78666666666666
