#Position (bp)	Coverage
38.0	28.213333333333335
113.0	111.17333333333333
188.0	175.93333333333334
263.0	181.86666666666667
338.0	169.82666666666665
413.0	298.72
488.0	394.6666666666667
563.0	353.8933333333333
638.0	251.62666666666667
713.0	307.3333333333333
788.0	387.38666666666666
863.0	414.38666666666666
938.0	296.7733333333333
1013.0	191.6
1088.0	206.72
1163.0	189.45333333333335
1238.0	129.85333333333332
1313.0	160.4
1388.0	280.32
1463.0	353.0
1538.0	285.8933333333333
1613.0	220.65333333333334
1688.0	307.84
1763.0	355.88
1838.0	297.88
1913.0	290.2133333333333
1988.0	386.93333333333334
2063.0	433.64
2138.0	339.41333333333336
2213.0	185.25333333333333
2288.0	162.78666666666666
2363.0	202.94666666666666
2438.0	216.36
2513.0	211.37333333333333
2588.0	295.8666666666667
2663.0	426.04
2738.0	459.97333333333336
2813.0	381.3466666666667
2888.0	249.58666666666667
2963.0	261.74666666666667
3038.0	282.05333333333334
3113.0	211.82666666666665
3188.0	252.93333333333334
3263.0	417.84
3338.0	502.18666666666667
3413.0	388.5466666666667
3488.0	246.36
3563.0	315.53333333333336
3638.0	408.0133333333333
3713.0	324.8933333333333
3788.0	219.38666666666666
3863.0	279.88
3938.0	379.64
4013.0	413.9866666666667
4088.0	390.52
4163.0	349.1333333333333
4238.0	393.46666666666664
4313.0	400.8
4388.0	512.72
4463.0	450.3333333333333
4538.0	467.9866666666667
4613.0	378.93333333333334
4688.0	317.6533333333333
4763.0	447.70666666666665
4838.0	489.9866666666667
4913.0	376.61333333333334
4988.0	315.41333333333336
5063.0	355.41333333333336
5138.0	387.74666666666667
5213.0	276.6933333333333
5288.0	205.97333333333333
5363.0	257.5466666666667
5438.0	375.0
5513.0	338.32
5588.0	289.0
5663.0	423.04
5738.0	551.72
5813.0	497.8
5888.0	365.8666666666667
5963.0	280.56
6038.0	373.81333333333333
6113.0	353.4533333333333
6188.0	372.68
6263.0	552.2266666666667
6338.0	617.6933333333334
6413.0	557.5866666666667
6488.0	420.92
6563.0	368.93333333333334
6638.0	465.4
6713.0	485.1333333333333
6788.0	495.84
6863.0	343.28
6938.0	263.97333333333336
7013.0	214.04
7088.0	230.97333333333333
7163.0	327.17333333333335
7238.0	309.81333333333333
7313.0	218.90666666666667
7388.0	315.04
7463.0	485.4266666666667
7538.0	501.94666666666666
7613.0	334.88
7688.0	168.85333333333332
7763.0	243.70666666666668
7838.0	286.61333333333334
7913.0	244.65333333333334
7988.0	394.1066666666667
8063.0	513.0533333333333
8138.0	517.7466666666667
8213.0	377.36
8288.0	288.5466666666667
8363.0	333.6533333333333
8438.0	436.94666666666666
8513.0	381.52
8588.0	239.88
8663.0	175.14666666666668
8738.0	252.24
8813.0	307.96
8888.0	259.32
8963.0	339.41333333333336
9038.0	482.6933333333333
9113.0	511.2
9188.0	391.6666666666667
9263.0	376.4533333333333
9338.0	533.04
9413.0	583.6266666666667
9488.0	519.64
9563.0	483.0
9638.0	444.0133333333333
9713.0	345.50666666666666
9788.0	189.01333333333332
9863.0	100.08
9938.0	119.86666666666666
10013.0	104.30666666666667
10088.0	95.72
10163.0	181.42666666666668
10238.0	248.53333333333333
10313.0	227.38666666666666
10388.0	236.09333333333333
10463.0	346.1066666666667
10538.0	417.88
10613.0	365.6933333333333
10688.0	320.6533333333333
10763.0	334.5466666666667
10838.0	409.9866666666667
10913.0	370.7866666666667
10988.0	243.29333333333332
11063.0	171.2
11138.0	200.90666666666667
11213.0	254.78666666666666
11288.0	260.16
11363.0	361.9866666666667
11438.0	442.02666666666664
11513.0	445.61333333333334
11588.0	453.88
11663.0	504.16
11738.0	479.3066666666667
11813.0	450.88
11888.0	339.52
11963.0	293.72
12038.0	347.96
12113.0	350.9066666666667
12188.0	464.0
12263.0	434.2266666666667
12338.0	417.14666666666665
12413.0	315.18666666666667
12488.0	302.36
12563.0	423.5466666666667
12638.0	420.26666666666665
12713.0	343.6
12788.0	417.2
12863.0	492.29333333333335
12938.0	472.58666666666664
13013.0	403.36
13088.0	533.6666666666666
13163.0	625.36
13238.0	699.64
13313.0	620.6133333333333
13388.0	391.7866666666667
13463.0	361.38666666666666
13538.0	387.16
13613.0	380.3066666666667
13688.0	358.92
13763.0	419.52
13838.0	483.4533333333333
13913.0	389.97333333333336
13988.0	296.7866666666667
14063.0	430.37333333333333
14138.0	450.9066666666667
14213.0	370.4
14288.0	362.62666666666667
14363.0	434.26666666666665
14438.0	454.81333333333333
14513.0	326.7733333333333
14588.0	319.02666666666664
14663.0	508.74666666666667
14738.0	583.08
14813.0	485.32
14888.0	311.3066666666667
14963.0	267.81333333333333
15038.0	319.26666666666665
15113.0	206.82666666666665
15188.0	189.08
15263.0	353.2266666666667
15338.0	478.6666666666667
15413.0	386.18666666666667
15488.0	202.44
15563.0	282.6933333333333
15638.0	375.96
15713.0	392.6
15788.0	320.53333333333336
15863.0	295.24
15938.0	483.16
16013.0	636.8666666666667
16088.0	604.1866666666666
16163.0	432.2266666666667
16238.0	333.26666666666665
16313.0	405.93333333333334
16388.0	370.38666666666666
16463.0	353.41333333333336
16538.0	368.36
16613.0	422.41333333333336
16688.0	394.85333333333335
16763.0	353.3333333333333
16838.0	501.05333333333334
16913.0	697.4
16988.0	833.4133333333333
17063.0	759.3066666666666
17138.0	686.1866666666666
17213.0	880.1733333333333
17288.0	949.8266666666667
17363.0	713.8133333333334
17438.0	389.7866666666667
17513.0	379.52
17588.0	433.93333333333334
17663.0	344.85333333333335
17738.0	352.06666666666666
