#Position (bp)	insert size
38.0	372.6666666666667
113.0	0.0
188.0	0.0
263.0	0.0
338.0	397.86842105263156
413.0	0.0
488.0	0.0
563.0	0.0
638.0	382.55
713.0	303.5
788.0	0.0
863.0	0.0
938.0	390.3157894736842
1013.0	357.0
1088.0	181.0
1163.0	0.0
1238.0	404.125
1313.0	372.0
1388.0	0.0
1463.0	0.0
1538.0	381.29411764705884
1613.0	384.8
1688.0	0.0
1763.0	0.0
1838.0	395.0
1913.0	379.2121212121212
1988.0	0.0
2063.0	0.0
2138.0	0.0
2213.0	402.3333333333333
2288.0	0.0
2363.0	0.0
2438.0	0.0
2513.0	388.0
2588.0	0.0
2663.0	0.0
2738.0	0.0
2813.0	373.5681818181818
2888.0	355.6
2963.0	0.0
3038.0	0.0
3113.0	383.625
3188.0	366.46153846153845
3263.0	220.0
3338.0	166.0
3413.0	0.0
3488.0	386.25
3563.0	0.0
3638.0	190.0
3713.0	0.0
3788.0	387.6190476190476
3863.0	305.0
3938.0	229.0
4013.0	112.0
4088.0	393.1764705882353
4163.0	0.0
4238.0	0.0
4313.0	399.5
4388.0	0.0
4463.0	0.0
4538.0	0.0
4613.0	377.3529411764706
4688.0	276.5
4763.0	0.0
4838.0	187.5
4913.0	368.5
4988.0	0.0
5063.0	0.0
5138.0	0.0
5213.0	409.72222222222223
5288.0	0.0
5363.0	0.0
5438.0	0.0
5513.0	120.0
5588.0	385.9583333333333
5663.0	266.0
5738.0	0.0
5813.0	127.0
5888.0	385.54545454545456
5963.0	0.0
6038.0	0.0
6113.0	0.0
6188.0	378.0769230769231
6263.0	0.0
6338.0	0.0
6413.0	0.0
6488.0	403.8888888888889
6563.0	0.0
6638.0	0.0
6713.0	392.9230769230769
6788.0	0.0
6863.0	0.0
6938.0	0.0
7013.0	380.0
7088.0	0.0
7163.0	0.0
7238.0	0.0
7313.0	384.82608695652175
7388.0	0.0
7463.0	223.5
7538.0	141.75
7613.0	381.55555555555554
7688.0	0.0
7763.0	0.0
7838.0	0.0
7913.0	390.7692307692308
7988.0	375.625
8063.0	256.2857142857143
8138.0	0.0
8213.0	405.4
8288.0	406.84615384615387
8363.0	0.0
8438.0	0.0
8513.0	0.0
8588.0	378.23809523809524
8663.0	244.0
8738.0	221.75
8813.0	0.0
8888.0	351.0
8963.0	311.0
9038.0	223.0
9113.0	0.0
9188.0	380.0
9263.0	0.0
9338.0	0.0
9413.0	0.0
9488.0	372.8
9563.0	0.0
9638.0	0.0
9713.0	107.0
9788.0	382.6363636363636
9863.0	0.0
9938.0	0.0
10013.0	0.0
10088.0	375.3333333333333
10163.0	0.0
10238.0	0.0
10313.0	142.0
10388.0	379.3225806451613
10463.0	0.0
10538.0	0.0
10613.0	127.0
10688.0	405.0
10763.0	269.75
10838.0	0.0
10913.0	0.0
10988.0	564.875
11063.0	0.0
11138.0	0.0
11213.0	0.0
11288.0	382.6
11363.0	359.375
11438.0	0.0
11513.0	0.0
11588.0	385.1904761904762
11663.0	0.0
11738.0	0.0
11813.0	0.0
11888.0	363.3
11963.0	0.0
12038.0	0.0
12113.0	363.38461538461536
12188.0	283.75
12263.0	212.0
12338.0	109.0
12413.0	396.0
12488.0	0.0
12563.0	0.0
12638.0	0.0
12713.0	381.72222222222223
12788.0	270.6666666666667
12863.0	166.6
12938.0	94.0
13013.0	388.16
13088.0	277.5
13163.0	252.5
13238.0	0.0
13313.0	375.3888888888889
13388.0	0.0
13463.0	192.0
13538.0	0.0
13613.0	380.94736842105266
13688.0	0.0
13763.0	0.0
13838.0	0.0
13913.0	371.5357142857143
13988.0	0.0
14063.0	198.5
14138.0	167.0
14213.0	388.6666666666667
14288.0	275.0
14363.0	0.0
14438.0	0.0
14513.0	376.65
14588.0	373.1111111111111
14663.0	201.5
14738.0	0.0
14813.0	0.0
14888.0	369.1818181818182
14963.0	0.0
15038.0	149.0
15113.0	157.0
15188.0	383.85714285714283
15263.0	0.0
15338.0	0.0
15413.0	0.0
15488.0	398.48
15563.0	273.5
15638.0	253.0
15713.0	0.0
15788.0	0.0
15863.0	374.0
15938.0	0.0
16013.0	0.0
16088.0	392.0
16163.0	0.0
16238.0	0.0
16313.0	0.0
16388.0	410.1764705882353
16463.0	403.0
16538.0	205.0
16613.0	212.5
16688.0	0.0
16763.0	401.27272727272725
16838.0	0.0
16913.0	0.0
16988.0	0.0
17063.0	380.6363636363636
17138.0	0.0
17213.0	0.0
17288.0	0.0
17363.0	373.2962962962963
17438.0	344.5
17513.0	233.0
17588.0	0.0
17663.0	384.93333333333334
17738.0	0.0
17813.0	0.0
17888.0	0.0
17963.0	374.52
18038.0	295.1666666666667
18113.0	0.0
18188.0	144.0
18263.0	407.52941176470586
18338.0	348.3333333333333
18413.0	213.0
18488.0	152.0
18563.0	381.0
18638.0	339.6
18713.0	181.0
18788.0	0.0
18863.0	383.9583333333333
18938.0	357.84615384615387
19013.0	222.14285714285714
19088.0	246.0
19163.0	0.0
19238.0	394.45454545454544
19313.0	0.0
19388.0	0.0
19463.0	0.0
19538.0	381.18518518518516
19613.0	295.0
19688.0	0.0
19763.0	150.0
19838.0	377.0
19913.0	373.8
19988.0	0.0
20063.0	163.5
20138.0	397.0
20213.0	396.0
20288.0	0.0
20363.0	0.0
20438.0	415.0
20513.0	327.125
20588.0	215.0
20663.0	0.0
20738.0	0.0
20813.0	375.8181818181818
20888.0	0.0
20963.0	144.0
21038.0	0.0
21113.0	365.5
21188.0	0.0
21263.0	0.0
21338.0	382.5
21413.0	359.0
21488.0	0.0
21563.0	0.0
21638.0	376.125
21713.0	357.25
21788.0	233.5
21863.0	0.0
21938.0	381.0769230769231
22013.0	0.0
22088.0	0.0
22163.0	0.0
22238.0	387.0
22313.0	0.0
22388.0	0.0
22463.0	0.0
22538.0	380.5
22613.0	0.0
22688.0	0.0
22763.0	415.4
22838.0	384.6666666666667
22913.0	257.6666666666667
22988.0	0.0
23063.0	0.0
23138.0	381.69565217391306
23213.0	0.0
23288.0	0.0
23363.0	0.0
23438.0	397.9230769230769
23513.0	354.5
23588.0	164.0
23663.0	0.0
23738.0	0.0
23813.0	374.4117647058824
23888.0	0.0
23963.0	188.0
24038.0	129.0
24113.0	374.7647058823529
24188.0	303.0
24263.0	0.0
24338.0	0.0
24413.0	389.42857142857144
24488.0	0.0
24563.0	213.5
24638.0	0.0
24713.0	371.59090909090907
24788.0	0.0
24863.0	166.14285714285714
24938.0	103.66666666666667
25013.0	385.22727272727275
25088.0	0.0
25163.0	0.0
25238.0	0.0
25313.0	389.09090909090907
25388.0	199.75
25463.0	181.0
25538.0	0.0
25613.0	387.4
25688.0	0.0
25763.0	205.66666666666666
25838.0	147.0
25913.0	405.4230769230769
25988.0	0.0
26063.0	0.0
26138.0	123.0
26213.0	384.7894736842105
26288.0	0.0
26363.0	0.0
26438.0	138.0
26513.0	388.65
26588.0	0.0
26663.0	0.0
26738.0	141.0
26813.0	300.25925925925924
26888.0	2579.3333333333335
26963.0	0.0
27038.0	0.0
27113.0	387.75
27188.0	376.5
27263.0	0.0
27338.0	158.0
27413.0	351.8
27488.0	403.0
27563.0	0.0
27638.0	0.0
27713.0	0.0
27788.0	383.0
27863.0	0.0
27938.0	0.0
28013.0	136.0
28088.0	378.6818181818182
28163.0	0.0
28238.0	0.0
28313.0	126.5
28388.0	377.77777777777777
28463.0	295.0
28538.0	0.0
28613.0	0.0
28688.0	374.8421052631579
28763.0	0.0
28838.0	0.0
28913.0	0.0
28988.0	385.6
29063.0	323.0
29138.0	218.33333333333334
29213.0	165.0
29288.0	395.875
29363.0	0.0
29438.0	0.0
29513.0	372.9047619047619
29588.0	0.0
29663.0	0.0
29738.0	0.0
29813.0	0.0
29877.0	0.0
