#Position (bp)	Coverage
38.0	11597.413333333334
113.0	33404.77333333333
188.0	45523.81333333333
263.0	52233.653333333335
338.0	64397.17333333333
413.0	77055.57333333333
488.0	89210.48
563.0	103776.52
638.0	122524.62666666666
713.0	140027.82666666666
788.0	186292.81333333332
863.0	193129.30666666667
938.0	194796.74666666667
1013.0	199882.88
1088.0	211094.13333333333
1163.0	212252.74666666667
1238.0	217611.77333333335
1313.0	214866.02666666667
1388.0	221503.41333333333
1463.0	221656.98666666666
1538.0	222241.89333333334
1613.0	233633.44
1688.0	246237.57333333333
1763.0	250714.26666666666
1838.0	260473.56
1913.0	256351.14666666667
1988.0	252525.70666666667
2063.0	251162.8
2138.0	252277.56
2213.0	251156.49333333335
2288.0	387274.32
2363.0	407068.4
2438.0	407172.69333333336
2513.0	407390.93333333335
2588.0	407075.37333333335
2663.0	406775.18666666665
2738.0	406812.7733333333
2813.0	407243.5466666667
2888.0	408817.92
2963.0	409638.69333333336
3038.0	409792.4666666667
3113.0	409476.0133333333
3188.0	411063.0133333333
3263.0	417538.6533333333
3338.0	418984.82666666666
3413.0	418572.7866666667
3488.0	415592.72
3563.0	412650.5333333333
3638.0	412380.18666666665
3713.0	412355.94666666666
3788.0	414298.32
3863.0	418093.8
3938.0	420183.84
4013.0	421459.0266666667
4088.0	430690.62666666665
4163.0	441930.25333333336
4238.0	445202.7866666667
4313.0	452406.14666666667
4388.0	448532.62666666665
4463.0	447219.17333333334
4538.0	447151.50666666665
4613.0	446344.4533333333
4688.0	445730.5466666667
4763.0	447094.85333333333
4838.0	448170.0933333333
4913.0	450258.48
4988.0	444744.41333333333
5063.0	441221.1066666667
5138.0	441104.56
5213.0	441526.04
5288.0	447703.76
5363.0	454124.1066666667
5438.0	455518.58666666667
5513.0	456348.7866666667
5588.0	457016.0133333333
5663.0	470724.25333333336
5738.0	481537.4666666667
5813.0	483193.96
5888.0	484796.96
5963.0	486993.9066666667
6038.0	487172.49333333335
6113.0	494189.4
6188.0	846749.3866666667
6263.0	1102757.5733333332
6338.0	1240966.4933333334
6413.0	1784296.12
6488.0	1899626.04
6563.0	1805515.6666666667
6638.0	1796658.52
6713.0	1797409.6133333333
6788.0	1802887.4666666666
6863.0	1804965.3866666667
6938.0	1803867.3333333333
7013.0	1803474.3333333333
7088.0	1801959.08
7163.0	1801541.6
7238.0	1800744.04
7313.0	1801478.7333333334
7388.0	1802049.3866666667
7463.0	1801283.1466666667
7538.0	1802008.32
7613.0	1802348.3466666667
7688.0	1807800.64
7763.0	1816356.0266666666
7838.0	1807450.12
7913.0	1652843.4133333333
7988.0	1652270.8266666667
8063.0	1661820.92
8138.0	1660412.6133333333
8213.0	1660667.7066666668
8288.0	1633459.0266666666
8363.0	1629643.0933333333
8438.0	1628798.3866666667
8513.0	1629270.7466666666
8588.0	1627677.6133333333
8663.0	1626651.8133333332
8738.0	1627291.3066666666
8813.0	1627526.1733333333
8888.0	1629278.8533333333
8963.0	1637264.8933333333
9038.0	1642505.56
9113.0	1643866.5466666666
9188.0	1752278.8666666667
9263.0	1767892.0533333332
9338.0	1766178.1333333333
9413.0	1766229.6666666667
9488.0	1780024.04
9563.0	1800320.0933333333
9638.0	1811658.8133333332
9713.0	1832131.36
9788.0	1833653.6
9863.0	1835553.0
9938.0	1841671.4
10013.0	1841409.76
10088.0	1844098.3466666667
10163.0	1850722.5066666666
10238.0	1854895.9866666666
10313.0	1856078.0666666667
10388.0	1855788.6666666667
