#Position (bp)	Coverage
38.0	24.586666666666666
113.0	109.45333333333333
188.0	156.18666666666667
263.0	179.09333333333333
338.0	753.6266666666667
413.0	3212.96
488.0	4817.8
563.0	4044.32
638.0	2333.1466666666665
713.0	1553.4266666666667
788.0	2071.9066666666668
863.0	2152.826666666667
938.0	1524.5466666666666
1013.0	1845.28
1088.0	2804.0933333333332
1163.0	2872.44
1238.0	2083.266666666667
1313.0	697.3466666666667
1388.0	30.986666666666668
1463.0	32.653333333333336
1538.0	28.2
1613.0	1408.8133333333333
1688.0	3699.48
1763.0	5082.08
1838.0	4145.693333333334
1913.0	1523.48
1988.0	74.33333333333333
2063.0	46.693333333333335
2138.0	43.96
2213.0	481.44
2288.0	1485.52
2363.0	1997.1866666666667
2438.0	1836.4533333333334
2513.0	1112.92
2588.0	226.61333333333334
2663.0	60.89333333333333
2738.0	72.76
2813.0	130.05333333333334
2888.0	1027.7733333333333
2963.0	1893.5466666666666
3038.0	2040.4133333333334
3113.0	1438.7866666666666
3188.0	483.05333333333334
3263.0	146.25333333333333
3338.0	158.69333333333333
3413.0	143.88
3488.0	240.25333333333333
3563.0	546.4
3638.0	799.48
3713.0	621.2266666666667
3788.0	525.12
3863.0	919.8
3938.0	1338.3066666666666
4013.0	1500.32
4088.0	2582.693333333333
4163.0	5540.306666666666
4238.0	6826.1466666666665
4313.0	4574.893333333333
4388.0	1948.1066666666666
4463.0	618.3333333333334
4538.0	559.0666666666667
4613.0	412.38666666666666
4688.0	652.7866666666666
4763.0	1101.9333333333334
4838.0	1178.9333333333334
4913.0	881.24
4988.0	378.61333333333334
5063.0	127.12
5138.0	127.01333333333334
5213.0	126.89333333333333
5288.0	402.5733333333333
5363.0	943.1733333333333
5438.0	1334.0133333333333
5513.0	1281.4933333333333
5588.0	681.48
5663.0	237.89333333333335
5738.0	226.08
5813.0	201.08
5888.0	171.50666666666666
5963.0	126.10666666666667
6038.0	121.38666666666667
6113.0	125.57333333333334
6188.0	330.93333333333334
6263.0	786.9866666666667
6338.0	1034.4666666666667
6413.0	958.28
6488.0	1262.4133333333334
6563.0	2880.693333333333
6638.0	4060.7466666666664
6713.0	3866.5466666666666
6788.0	2494.9866666666667
6863.0	810.9066666666666
6938.0	409.52
7013.0	375.93333333333334
7088.0	1220.6666666666667
7163.0	2590.92
7238.0	2878.92
7313.0	1898.72
7388.0	720.0
7463.0	244.54666666666665
7538.0	249.4
7613.0	297.85333333333335
7688.0	1507.7466666666667
7763.0	3019.7066666666665
7838.0	3496.6666666666665
7913.0	2736.88
7988.0	1457.5466666666666
8063.0	1096.9866666666667
8138.0	1163.2
8213.0	1019.5333333333333
8288.0	1297.0
8363.0	2533.88
8438.0	3275.1066666666666
8513.0	2892.5466666666666
8588.0	1621.6
8663.0	349.1066666666667
8738.0	125.77333333333333
8813.0	124.85333333333334
8888.0	374.68
8963.0	2352.68
9038.0	4207.973333333333
9113.0	4446.253333333333
9188.0	2813.52
9263.0	671.6533333333333
9338.0	245.38666666666666
9413.0	243.17333333333335
9488.0	883.9733333333334
9563.0	4152.2
9638.0	6562.986666666667
9713.0	5742.453333333333
9788.0	2918.5333333333333
9863.0	545.0933333333334
9938.0	335.56
10013.0	334.64
10088.0	298.6666666666667
10163.0	284.46666666666664
10238.0	308.02666666666664
10313.0	304.5733333333333
10388.0	246.09333333333333
10463.0	173.28
10538.0	161.93333333333334
10613.0	158.01333333333332
10688.0	565.28
10763.0	1658.1066666666666
10838.0	2426.2533333333336
10913.0	2399.56
10988.0	1589.84
11063.0	743.2666666666667
11138.0	700.32
11213.0	713.8533333333334
11288.0	648.72
11363.0	2733.7066666666665
11438.0	5255.373333333333
11513.0	5309.693333333334
11588.0	3344.4133333333334
11663.0	1109.2933333333333
11738.0	176.24
11813.0	176.85333333333332
11888.0	1393.1333333333334
11963.0	5010.173333333333
12038.0	7471.426666666666
12113.0	6573.026666666667
12188.0	3116.6133333333332
12263.0	393.6533333333333
12338.0	129.90666666666667
12413.0	295.06666666666666
12488.0	1719.0666666666666
12563.0	3017.6666666666665
12638.0	3037.3866666666668
12713.0	2000.88
12788.0	619.6
12863.0	232.66666666666666
12938.0	227.76
13013.0	986.2133333333334
13088.0	4533.973333333333
13163.0	7593.066666666667
13238.0	7371.253333333333
13313.0	4007.4
13388.0	1480.0933333333332
13463.0	1639.9866666666667
13538.0	1668.9866666666667
13613.0	1203.9466666666667
13688.0	412.68
13763.0	285.38666666666666
13838.0	279.70666666666665
13913.0	270.64
13988.0	682.1866666666666
14063.0	1179.2
14138.0	1211.4933333333333
14213.0	1013.4133333333333
14288.0	1738.2266666666667
14363.0	2727.266666666667
14438.0	2907.16
14513.0	1807.5866666666666
14588.0	672.4133333333333
14663.0	487.6933333333333
14738.0	519.0
14813.0	452.81333333333333
14888.0	461.5466666666667
14963.0	766.7066666666667
15038.0	1126.4933333333333
15113.0	994.3733333333333
15188.0	856.8933333333333
15263.0	1420.9066666666668
15338.0	2154.3866666666668
15413.0	2125.9733333333334
15488.0	2251.9333333333334
15563.0	6359.72
15638.0	10639.36
15713.0	10402.906666666666
15788.0	6475.32
15863.0	2151.9866666666667
15938.0	1079.92
16013.0	1364.3733333333332
16088.0	1159.0133333333333
16163.0	956.3866666666667
16238.0	1096.0133333333333
16313.0	1338.5466666666666
16388.0	1223.2533333333333
16463.0	736.6533333333333
16538.0	339.50666666666666
16613.0	372.8
16688.0	376.0
16763.0	825.7066666666667
16838.0	2960.2933333333335
16913.0	4508.84
16988.0	4392.2266666666665
17063.0	3364.2
17138.0	4672.866666666667
17213.0	8082.613333333334
17288.0	8909.693333333333
17363.0	5535.493333333333
17438.0	3747.12
17513.0	5601.8
17588.0	6243.493333333333
17663.0	4200.4
17738.0	2090.213333333333
17813.0	1926.72
17888.0	1952.56
17963.0	1593.1866666666667
18038.0	2417.5733333333333
18113.0	4045.44
18188.0	4582.293333333333
18263.0	3225.72
18338.0	2308.96
18413.0	3122.213333333333
18488.0	3325.7733333333335
18563.0	2438.2
18638.0	2705.12
18713.0	6145.586666666667
18788.0	8345.373333333333
18863.0	6138.346666666666
18938.0	2439.7066666666665
19013.0	664.2666666666667
19088.0	795.9333333333333
19163.0	734.9466666666667
19238.0	843.4666666666667
19313.0	1499.04
19388.0	1824.6
19463.0	1391.48
19538.0	740.6266666666667
19613.0	228.21333333333334
19688.0	130.25333333333333
19763.0	133.22666666666666
19838.0	137.10666666666665
19913.0	132.84
19988.0	128.12
20063.0	125.12
20138.0	123.92
20213.0	132.0
20288.0	131.8
20363.0	130.65333333333334
20438.0	128.64
20513.0	909.0133333333333
20588.0	2134.8933333333334
20663.0	2912.44
20738.0	2975.0533333333333
20813.0	1737.5733333333333
20888.0	296.94666666666666
20963.0	131.45333333333335
21038.0	133.08
21113.0	323.85333333333335
21188.0	592.12
21263.0	767.0
21338.0	716.7866666666666
21413.0	542.4666666666667
21488.0	538.9466666666667
21563.0	636.7866666666666
21638.0	575.0666666666667
21713.0	1582.7466666666667
21788.0	3450.4533333333334
21863.0	4271.8
21938.0	2832.8
22013.0	902.9866666666667
22088.0	210.18666666666667
22163.0	213.62666666666667
22238.0	201.34666666666666
22313.0	1581.3066666666666
22388.0	3655.8533333333335
22463.0	4327.96
22538.0	3388.733333333333
22613.0	1437.96
22688.0	171.81333333333333
22763.0	169.14666666666668
22838.0	788.5466666666666
22913.0	1919.4533333333334
