#Position (bp)	Coverage
38.0	36.36
113.0	30.266666666666666
188.0	38.586666666666666
263.0	37.333333333333336
338.0	58.49333333333333
413.0	64.77333333333333
488.0	86.42666666666666
563.0	83.88
638.0	70.2
713.0	72.32
788.0	62.29333333333334
863.0	67.24
938.0	70.86666666666666
1013.0	72.0
1088.0	65.54666666666667
1163.0	73.21333333333334
1238.0	68.61333333333333
1313.0	59.24
1388.0	42.53333333333333
1463.0	43.50666666666667
1538.0	37.013333333333335
1613.0	60.21333333333333
1688.0	57.88
1763.0	62.733333333333334
1838.0	57.18666666666667
1913.0	88.84
1988.0	84.98666666666666
2063.0	96.34666666666666
2138.0	99.78666666666666
2213.0	72.18666666666667
2288.0	37.24
2363.0	34.0
2438.0	33.026666666666664
2513.0	53.653333333333336
2588.0	89.94666666666667
2663.0	109.09333333333333
2738.0	110.13333333333334
2813.0	94.81333333333333
2888.0	112.65333333333334
2963.0	120.37333333333333
3038.0	119.89333333333333
3113.0	110.34666666666666
3188.0	106.42666666666666
3263.0	93.13333333333334
3338.0	100.69333333333333
3413.0	100.74666666666667
3488.0	86.94666666666667
3563.0	59.21333333333333
3638.0	67.01333333333334
3713.0	68.29333333333334
3788.0	69.49333333333334
3863.0	64.76
3938.0	71.02666666666667
4013.0	70.97333333333333
4088.0	81.92
4163.0	74.76
4238.0	68.17333333333333
4313.0	86.24
4388.0	76.18666666666667
4463.0	62.57333333333333
4538.0	53.653333333333336
4613.0	44.64
4688.0	61.12
4763.0	71.86666666666666
4838.0	75.24
4913.0	70.64
4988.0	71.94666666666667
5063.0	53.36
5138.0	56.986666666666665
5213.0	57.18666666666667
5288.0	63.306666666666665
5363.0	69.18666666666667
5438.0	81.49333333333334
5513.0	69.28
5588.0	86.66666666666667
5663.0	72.82666666666667
5738.0	72.26666666666667
5813.0	66.45333333333333
5888.0	79.18666666666667
5963.0	87.16
6038.0	96.34666666666666
6113.0	96.18666666666667
6188.0	102.76
6263.0	111.36
6338.0	96.44
6413.0	96.73333333333333
6488.0	88.6
6563.0	56.17333333333333
6638.0	58.32
6713.0	74.6
6788.0	77.81333333333333
6863.0	77.42666666666666
6938.0	51.52
7013.0	42.74666666666667
7088.0	37.626666666666665
7163.0	18.0
7238.0	15.413333333333334
7313.0	41.25333333333333
7388.0	73.2
7463.0	90.89333333333333
7538.0	87.37333333333333
7613.0	71.01333333333334
7688.0	58.68
7763.0	50.81333333333333
7838.0	45.986666666666665
7913.0	40.29333333333334
7988.0	76.86666666666666
8063.0	89.64
8138.0	99.68
8213.0	91.42666666666666
8288.0	89.13333333333334
8363.0	57.85333333333333
8438.0	61.74666666666667
8513.0	61.32
8588.0	51.61333333333334
8663.0	57.4
8738.0	62.82666666666667
8813.0	63.84
8888.0	63.78666666666667
8963.0	69.68
9038.0	56.973333333333336
9113.0	58.12
9188.0	50.89333333333333
9263.0	27.666666666666668
9338.0	15.013333333333334
9413.0	14.466666666666667
9488.0	37.986666666666665
9563.0	67.97333333333333
9638.0	76.68
9713.0	75.08
9788.0	81.46666666666667
9863.0	80.16
9938.0	82.32
10013.0	84.62666666666667
10088.0	86.53333333333333
10163.0	87.77333333333333
10238.0	76.05333333333333
10313.0	78.01333333333334
10388.0	92.34666666666666
10463.0	87.49333333333334
10538.0	97.97333333333333
10613.0	98.66666666666667
10688.0	97.4
10763.0	81.94666666666667
10838.0	77.97333333333333
10913.0	80.70666666666666
10988.0	60.57333333333333
11063.0	49.50666666666667
11138.0	42.25333333333333
11213.0	50.626666666666665
11288.0	63.13333333333333
11363.0	95.16
11438.0	86.6
11513.0	89.25333333333333
11588.0	118.69333333333333
11663.0	116.14666666666666
11738.0	79.01333333333334
11813.0	77.98666666666666
11888.0	84.16
11963.0	75.22666666666667
12038.0	74.36
12113.0	95.90666666666667
12188.0	145.28
12263.0	155.54666666666665
12338.0	141.2
12413.0	133.57333333333332
12488.0	90.36
12563.0	71.65333333333334
12638.0	73.6
12713.0	74.64
12788.0	73.72
12863.0	73.29333333333334
12938.0	73.50666666666666
13013.0	82.04
13088.0	81.4
13163.0	76.84
13238.0	80.66666666666667
13313.0	72.8
13388.0	76.97333333333333
13463.0	64.09333333333333
13538.0	62.70666666666666
13613.0	76.6
13688.0	82.0
13763.0	78.8
13838.0	77.16
13913.0	73.6
13988.0	67.25333333333333
14063.0	74.70666666666666
14138.0	79.98666666666666
14213.0	96.6
14288.0	100.08
14363.0	100.09333333333333
14438.0	94.78666666666666
14513.0	71.13333333333334
14588.0	81.06666666666666
14663.0	83.08
14738.0	82.21333333333334
14813.0	76.29333333333334
14888.0	92.48
14963.0	97.86666666666666
15038.0	113.37333333333333
15113.0	117.46666666666667
15188.0	100.57333333333334
15263.0	64.04
15338.0	62.04
15413.0	60.626666666666665
15488.0	61.413333333333334
15563.0	47.36
15638.0	45.89333333333333
15713.0	44.74666666666667
15788.0	33.96
15863.0	75.82666666666667
15938.0	78.05333333333333
16013.0	77.08
16088.0	74.37333333333333
16163.0	65.25333333333333
16238.0	50.06666666666667
16313.0	48.74666666666667
16388.0	49.46666666666667
16463.0	74.06666666666666
16538.0	72.70666666666666
16613.0	81.58666666666667
16688.0	72.18666666666667
16763.0	65.30666666666667
16838.0	52.44
16913.0	50.89333333333333
16988.0	51.44
17063.0	58.6
17138.0	88.68
17213.0	106.88
17288.0	110.24
17363.0	105.74666666666667
17438.0	93.97333333333333
17513.0	74.06666666666666
17588.0	72.22666666666667
17663.0	73.69333333333333
17738.0	69.4
17813.0	58.10666666666667
17888.0	64.54666666666667
17963.0	74.33333333333333
18038.0	92.86666666666666
18113.0	85.93333333333334
18188.0	84.77333333333333
18263.0	91.57333333333334
18338.0	72.70666666666666
18413.0	65.90666666666667
18488.0	65.85333333333334
18563.0	50.4
18638.0	73.61333333333333
18713.0	49.666666666666664
18788.0	49.373333333333335
18863.0	47.28
18938.0	82.90666666666667
19013.0	101.57333333333334
19088.0	118.94666666666667
19163.0	116.6
19238.0	116.41333333333333
19313.0	87.48
19388.0	88.98666666666666
19463.0	84.58666666666667
19538.0	80.0
19613.0	123.10666666666667
19688.0	127.34666666666666
19763.0	122.97333333333333
19838.0	110.36
19913.0	94.21333333333334
19988.0	104.93333333333334
20063.0	113.37333333333333
20138.0	100.72
20213.0	99.96
20288.0	54.373333333333335
20363.0	60.973333333333336
20438.0	60.92
20513.0	79.58666666666667
20588.0	67.85333333333334
20663.0	78.65333333333334
20738.0	77.85333333333334
20813.0	86.04
20888.0	95.36
20963.0	83.68
21038.0	83.52
21113.0	90.25333333333333
21188.0	71.09333333333333
21263.0	65.12
21338.0	72.24
21413.0	82.90666666666667
21488.0	77.58666666666667
21563.0	90.73333333333333
21638.0	97.94666666666667
21713.0	104.18666666666667
21788.0	74.0
21863.0	76.33333333333333
21938.0	69.01333333333334
22013.0	68.61333333333333
22088.0	63.78666666666667
22163.0	64.6
22238.0	58.25333333333333
22313.0	66.68
22388.0	67.48
22463.0	71.56
22538.0	93.90666666666667
22613.0	90.38666666666667
22688.0	66.0
22763.0	69.81333333333333
22838.0	106.82666666666667
22913.0	83.73333333333333
22988.0	77.25333333333333
23063.0	69.37333333333333
23138.0	48.346666666666664
23213.0	55.96
23288.0	62.77333333333333
23363.0	66.37333333333333
23438.0	62.586666666666666
23513.0	66.4
23588.0	77.17333333333333
23663.0	78.77333333333333
23738.0	60.946666666666665
23813.0	61.45333333333333
23888.0	45.44
23963.0	49.50666666666667
24038.0	51.693333333333335
24113.0	65.84
24188.0	62.64
24263.0	59.04
24338.0	57.48
24413.0	57.026666666666664
24488.0	49.56
24563.0	59.50666666666667
24638.0	56.22666666666667
24713.0	70.57333333333334
24788.0	83.21333333333334
24863.0	82.18666666666667
24938.0	81.89333333333333
25013.0	81.77333333333333
25088.0	70.94666666666667
25163.0	69.09333333333333
25238.0	70.08
25313.0	86.12
25388.0	77.09333333333333
25463.0	80.12
25538.0	79.54666666666667
25613.0	74.69333333333333
25688.0	59.6
25763.0	70.30666666666667
25838.0	77.04
25913.0	74.38666666666667
25988.0	61.77333333333333
26063.0	56.21333333333333
26138.0	57.28
26213.0	73.10666666666667
26288.0	85.69333333333333
26363.0	74.50666666666666
26438.0	72.36
26513.0	66.70666666666666
26588.0	64.36
26663.0	63.266666666666666
26738.0	61.6
26813.0	59.733333333333334
26888.0	85.04
26963.0	85.52
27038.0	84.89333333333333
27113.0	78.41333333333333
27188.0	82.86666666666666
27263.0	88.34666666666666
27338.0	98.41333333333333
27413.0	102.68
27488.0	123.48
27563.0	107.25333333333333
27638.0	118.89333333333333
27713.0	109.62666666666667
27788.0	95.65333333333334
27863.0	94.50666666666666
27938.0	102.56
28013.0	96.76
28088.0	88.69333333333333
28163.0	87.02666666666667
28238.0	86.28
28313.0	89.36
28388.0	82.78666666666666
28463.0	70.0
28538.0	60.44
28613.0	58.333333333333336
28688.0	69.86666666666666
28763.0	72.92
28838.0	60.8
28913.0	63.32
28988.0	78.69333333333333
29063.0	82.18666666666667
29138.0	92.88
29213.0	88.68
29288.0	89.82666666666667
29363.0	77.94666666666667
29438.0	59.72
29513.0	89.50666666666666
29588.0	119.73333333333333
29663.0	109.16
29738.0	80.76
29813.0	57.64
29877.0	12.075471698113208
