#Position (bp)	insert size
38.0	0.0
113.0	339.0
188.0	0.0
263.0	0.0
338.0	0.0
413.0	0.0
488.0	122.0
563.0	153.0
638.0	179.5
713.0	0.0
788.0	242.0
863.0	0.0
938.0	0.0
1013.0	204.0
1088.0	0.0
1163.0	0.0
1238.0	0.0
1313.0	162.0
1388.0	251.75
1463.0	278.5
1538.0	192.0
1613.0	0.0
1688.0	126.0
1763.0	0.0
1838.0	0.0
1913.0	0.0
1988.0	44.0
2063.0	0.0
2138.0	0.0
2213.0	0.0
2288.0	281.0
2363.0	0.0
2438.0	172.0
2513.0	0.0
2588.0	90.0
2663.0	149.0
2738.0	259.0
2813.0	129.0
2888.0	182.33333333333334
2963.0	0.0
3038.0	111.0
3113.0	268.0
3188.0	202.66666666666666
3263.0	121.0
3338.0	68.0
3413.0	75.66666666666667
3488.0	144.0
3563.0	137.0
3638.0	0.0
3713.0	242.66666666666666
3788.0	179.0
3863.0	199.0
3938.0	221.0
4013.0	226.33333333333334
4088.0	0.0
4163.0	214.0
4238.0	389.0
4313.0	224.66666666666666
4388.0	118.0
4463.0	202.0
4538.0	205.4
4613.0	291.5
4688.0	185.0
4763.0	0.0
4838.0	339.0
4913.0	86.66666666666667
4988.0	0.0
5063.0	225.66666666666666
5138.0	191.0
5213.0	281.5
5288.0	0.0
5363.0	0.0
5438.0	159.0
5513.0	0.0
5588.0	233.5
5663.0	327.0
5738.0	128.5
5813.0	212.0
5888.0	53.333333333333336
5963.0	154.0
6038.0	0.0
6113.0	250.0
6188.0	0.0
6263.0	303.0
6338.0	0.0
6413.0	132.0
6488.0	0.0
6563.0	343.0
6638.0	230.25
6713.0	121.0
6788.0	246.0
6863.0	362.0
6938.0	0.0
7013.0	249.0
7088.0	236.0
7163.0	195.0
7238.0	238.0
7313.0	221.5
7388.0	210.66666666666666
7463.0	279.6666666666667
7538.0	193.625
7613.0	225.25
7688.0	173.0
7763.0	199.0
7838.0	0.0
7913.0	0.0
7988.0	242.0
8063.0	0.0
8138.0	188.5
8213.0	0.0
8288.0	276.0
8363.0	0.0
8438.0	0.0
8513.0	390.0
8588.0	259.0
8663.0	259.0
8738.0	0.0
8813.0	124.0
8888.0	257.0
8963.0	267.0
9038.0	142.66666666666666
9113.0	194.33333333333334
9188.0	0.0
9263.0	208.0
9338.0	230.5
9413.0	245.0
9488.0	174.5
9563.0	207.5
9638.0	0.0
9713.0	244.0
9788.0	0.0
9863.0	116.0
9938.0	178.5
10013.0	0.0
10088.0	190.0
10163.0	133.0
10238.0	0.0
10313.0	235.66666666666666
10388.0	110.0
10463.0	0.0
10538.0	0.0
10613.0	121.0
10688.0	286.0
10763.0	318.0
10838.0	320.0
10913.0	296.0
10988.0	258.6666666666667
11063.0	107.0
11138.0	216.5
11213.0	220.28571428571428
11288.0	181.66666666666666
11363.0	240.83333333333334
11438.0	209.0
11513.0	0.0
11588.0	136.0
11663.0	0.0
11738.0	0.0
11813.0	0.0
11888.0	73.0
11963.0	179.0
12038.0	139.0
12113.0	267.0
12188.0	159.0
