#Position (bp)	Coverage
38.0	41.666666666666664
113.0	130.10666666666665
188.0	157.10666666666665
263.0	175.96
338.0	181.90666666666667
413.0	212.64
488.0	238.28
563.0	232.82666666666665
638.0	206.17333333333335
713.0	175.26666666666668
788.0	198.64
863.0	208.14666666666668
938.0	186.38666666666666
1013.0	185.78666666666666
1088.0	223.92
1163.0	243.4
1238.0	212.49333333333334
1313.0	143.85333333333332
1388.0	102.48
1463.0	111.92
1538.0	87.65333333333334
1613.0	120.10666666666667
1688.0	198.18666666666667
1763.0	244.62666666666667
1838.0	219.93333333333334
1913.0	189.50666666666666
1988.0	169.92
2063.0	208.61333333333334
2138.0	214.01333333333332
2213.0	176.12
2288.0	110.68
2363.0	85.81333333333333
2438.0	107.70666666666666
2513.0	100.92
2588.0	64.33333333333333
2663.0	66.62666666666667
2738.0	77.16
2813.0	76.33333333333333
2888.0	125.09333333333333
2963.0	181.46666666666667
3038.0	194.62666666666667
3113.0	146.29333333333332
3188.0	129.14666666666668
3263.0	160.72
3338.0	176.33333333333334
3413.0	164.65333333333334
3488.0	123.42666666666666
3563.0	139.06666666666666
3638.0	145.49333333333334
3713.0	118.84
3788.0	106.74666666666667
3863.0	145.64
3938.0	186.56
4013.0	183.98666666666668
4088.0	201.76
4163.0	220.12
4238.0	225.64
4313.0	215.0
4388.0	217.58666666666667
4463.0	223.54666666666665
4538.0	213.04
4613.0	165.09333333333333
4688.0	166.72
4763.0	205.44
4838.0	199.93333333333334
4913.0	183.81333333333333
4988.0	177.49333333333334
5063.0	173.6
5138.0	187.93333333333334
5213.0	164.94666666666666
5288.0	151.08
5363.0	210.41333333333333
5438.0	249.78666666666666
5513.0	218.0
5588.0	189.16
5663.0	192.42666666666668
5738.0	226.0
5813.0	224.53333333333333
5888.0	176.14666666666668
5963.0	113.72
6038.0	134.06666666666666
6113.0	157.29333333333332
6188.0	180.61333333333334
6263.0	224.92
6338.0	232.92
6413.0	222.74666666666667
6488.0	213.58666666666667
6563.0	217.01333333333332
6638.0	238.30666666666667
6713.0	243.44
6788.0	192.16
6863.0	79.16
6938.0	26.32
7013.0	31.69333333333333
7088.0	72.46666666666667
7163.0	96.29333333333334
7238.0	105.74666666666667
7313.0	132.64
7388.0	187.97333333333333
7463.0	210.12
7538.0	219.36
7613.0	188.68
7688.0	171.48
7763.0	204.05333333333334
7838.0	209.72
7913.0	174.86666666666667
