#Position (bp)	Coverage
38.0	30626.146666666667
113.0	81183.06666666667
188.0	100072.48
263.0	138542.94666666666
338.0	159958.09333333332
413.0	230458.25333333333
488.0	258486.52
563.0	308576.29333333333
638.0	338858.17333333334
713.0	366855.7866666667
788.0	378399.6666666667
863.0	398143.38666666666
938.0	406082.74666666664
1013.0	422030.44
1088.0	475667.6666666667
1163.0	477292.38666666666
1238.0	484675.68
1313.0	483729.96
1388.0	482404.06666666665
1463.0	483647.0133333333
1538.0	483953.9066666667
1613.0	486723.61333333334
1688.0	489325.29333333333
1763.0	489749.4666666667
1838.0	490239.3466666667
1913.0	488554.5733333333
1988.0	486032.30666666664
2063.0	485607.84
2138.0	485672.44
2213.0	486373.4533333333
2288.0	486603.7866666667
2363.0	486453.0
2438.0	486496.9733333333
2513.0	487779.73333333334
2588.0	491569.0133333333
2663.0	498456.73333333334
2738.0	503896.37333333335
2813.0	501240.18666666665
2888.0	498534.3466666667
2963.0	497816.76
3038.0	497546.4266666667
3113.0	497367.81333333335
3188.0	497205.0933333333
3263.0	497023.3466666667
3338.0	496197.8933333333
3413.0	496099.5466666667
3488.0	495924.2266666667
3563.0	495495.7866666667
3638.0	495294.93333333335
3713.0	495103.6666666667
3788.0	496540.4533333333
3863.0	499561.06666666665
3938.0	501951.2266666667
4013.0	503181.61333333334
4088.0	506852.9733333333
4163.0	512089.76
4238.0	516870.18666666665
4313.0	515645.72
4388.0	512816.29333333333
4463.0	510403.04
4538.0	510284.0133333333
4613.0	507643.49333333335
4688.0	506982.3333333333
4763.0	510363.04
4838.0	517292.37333333335
4913.0	516769.93333333335
4988.0	512129.41333333333
5063.0	510389.8933333333
5138.0	510455.28
5213.0	510416.8933333333
5288.0	512031.88
5363.0	514012.5333333333
5438.0	514451.16
5513.0	514461.0
5588.0	514288.08
5663.0	514649.88
5738.0	514950.8933333333
5813.0	514357.3333333333
5888.0	512887.3333333333
5963.0	511229.38666666666
6038.0	510691.69333333336
6113.0	510694.7866666667
6188.0	514013.72
6263.0	521192.2133333333
6338.0	524984.9866666667
6413.0	529714.0133333333
6488.0	526929.52
6563.0	526390.1066666667
6638.0	529645.9333333333
6713.0	535065.56
6788.0	534032.1333333333
6863.0	531686.7066666667
6938.0	530517.9733333334
7013.0	530324.56
7088.0	533871.36
7163.0	544012.2133333334
7238.0	541795.6666666666
7313.0	537441.92
7388.0	534910.9866666667
7463.0	532095.9733333334
7538.0	532338.1066666667
7613.0	531924.76
7688.0	531232.04
7763.0	530851.3333333334
7838.0	530589.04
7913.0	530722.7066666667
7988.0	536779.9466666667
8063.0	548162.5733333334
8138.0	550836.0
8213.0	548941.7066666667
8288.0	542078.3866666667
8363.0	552956.2133333334
8438.0	553083.8533333334
8513.0	553206.2
8588.0	554419.48
8663.0	553670.56
8738.0	553447.72
8813.0	553740.2133333334
8888.0	554717.5466666666
8963.0	558032.16
9038.0	560272.7066666667
9113.0	560749.68
9188.0	559568.5066666667
9263.0	560331.2
9338.0	563182.76
9413.0	563990.3733333333
9488.0	564270.6
9563.0	573084.96
9638.0	584887.3333333334
9713.0	584691.32
9788.0	582719.1333333333
9863.0	580319.9066666666
9938.0	580785.5066666667
10013.0	580589.8533333334
10088.0	580734.8133333334
10163.0	580780.12
10238.0	580842.1066666667
10313.0	580640.5333333333
10388.0	579666.3733333333
10463.0	578203.4666666667
10538.0	577890.2533333333
10613.0	577976.2266666667
10688.0	582087.6266666667
10763.0	591367.8133333334
10838.0	600799.9733333334
10913.0	610783.16
10988.0	607503.76
11063.0	600108.5733333334
11138.0	602918.7866666666
11213.0	602680.72
11288.0	603225.8933333333
11363.0	608355.2533333333
11438.0	613149.9066666666
11513.0	612861.3066666666
11588.0	610621.9866666667
11663.0	605838.04
11738.0	603611.4133333333
11813.0	604198.4533333334
11888.0	607995.8133333334
11963.0	617133.52
12038.0	624793.0666666667
12113.0	624715.48
12188.0	617808.6266666667
12263.0	611308.7866666666
12338.0	610823.24
12413.0	610591.3866666667
12488.0	612432.7733333333
12563.0	616221.6666666666
12638.0	617740.5066666667
12713.0	622949.0533333333
12788.0	639868.96
12863.0	654329.2266666667
12938.0	676455.28
13013.0	682237.28
13088.0	669916.0933333334
13163.0	671331.08
13238.0	671544.08
13313.0	657997.72
13388.0	671546.1066666667
13463.0	705938.44
13538.0	702991.0933333334
13613.0	699164.5733333334
13688.0	690991.8666666667
13763.0	692007.0133333333
13838.0	691464.0933333334
13913.0	689154.92
13988.0	697228.4133333333
14063.0	705979.3333333334
14138.0	708077.8
14213.0	722982.6666666666
14288.0	860104.16
14363.0	906346.84
14438.0	906241.6133333333
14513.0	902168.04
14588.0	902012.7333333333
14663.0	905555.12
14738.0	906906.0266666666
14813.0	912700.4
14888.0	906308.48
14963.0	901805.0
15038.0	902145.8
15113.0	907319.7733333333
15188.0	921797.8933333333
15263.0	952621.2533333333
15338.0	1070385.4933333334
15413.0	1104646.48
15488.0	1085312.6266666667
15563.0	1073474.9733333334
15638.0	1079022.3866666667
15713.0	1080693.68
15788.0	1086332.8533333333
15863.0	1082272.1066666667
15938.0	1145829.7466666666
16013.0	1176059.5066666666
16088.0	1173142.4533333334
16163.0	1167142.92
16238.0	1164037.44
16313.0	1163983.0133333334
16388.0	1163057.4533333334
16463.0	1163499.6133333333
16538.0	1165687.04
16613.0	1168210.28
16688.0	1169362.5066666666
16763.0	1167095.3066666666
16838.0	1169405.9866666666
16913.0	1175645.56
16988.0	1176697.2533333334
17063.0	1248809.9466666668
17138.0	1468389.88
17213.0	1535058.4266666668
17288.0	1585354.7866666666
17363.0	1757770.3866666667
17438.0	1841447.32
17513.0	1985469.92
17588.0	1985382.56
17663.0	1978457.5333333334
17738.0	1968961.36
17813.0	1965600.72
17888.0	1965556.4133333333
17963.0	1967045.0933333333
18038.0	1973053.0666666667
18113.0	1975464.96
18188.0	2010144.8133333332
18263.0	2038172.0
18338.0	2042460.6
18413.0	2042748.2666666666
18488.0	2006396.9066666667
18563.0	1999464.8266666667
18638.0	1983477.9733333334
18713.0	1981380.0266666666
18788.0	1981056.1466666667
18863.0	1980869.5866666667
18938.0	1982634.6933333334
19013.0	1985335.8933333333
19088.0	1985874.1866666668
19163.0	1985747.2533333334
19238.0	1982927.8666666667
19313.0	2089021.56
19388.0	2088479.48
19463.0	2088535.7466666666
19538.0	2088556.6933333334
19613.0	2088543.4933333334
19688.0	2088495.8533333333
19763.0	2088469.3866666667
19838.0	2088608.2933333332
19913.0	2088800.3733333333
19988.0	2088719.4933333334
20063.0	2088548.64
20138.0	2088514.1866666668
20213.0	2088676.3333333333
20288.0	2088776.7733333334
20363.0	2088717.5733333332
20438.0	2088748.8266666667
20513.0	2089345.1733333333
20588.0	2090662.0
20663.0	2091012.7066666668
20738.0	2104187.24
20813.0	2126860.9066666667
20888.0	2151032.1466666665
20963.0	2166051.52
21038.0	2166020.4133333336
21113.0	2167534.053333333
21188.0	2169621.1333333333
21263.0	2169527.6666666665
21338.0	2169726.933333333
21413.0	2172620.0
21488.0	2175899.7466666666
21563.0	2176351.986666667
21638.0	2175537.986666667
21713.0	2173682.48
21788.0	2176574.32
21863.0	2176501.2533333334
21938.0	2176085.533333333
22013.0	2174645.7466666666
22088.0	2173718.7466666666
22163.0	2173728.88
22238.0	2174033.8266666667
22313.0	2176409.08
22388.0	2179109.2666666666
22463.0	2179912.52
22538.0	2180509.6933333334
22613.0	2176813.1466666665
22688.0	2173946.2
22763.0	2173969.7866666666
22838.0	2175554.2
22913.0	2176537.7466666666
22988.0	2176284.8533333335
23063.0	2176820.12
23138.0	2149817.7466666666
23213.0	2146676.6133333333
23288.0	2156137.6533333333
23363.0	2181143.1066666665
23438.0	2251505.3466666667
23513.0	2242042.466666667
23588.0	2241484.16
23663.0	2240981.453333333
23738.0	2239590.8933333335
23813.0	2236864.24
23888.0	2238169.3066666666
23963.0	2239738.04
24038.0	2240309.7333333334
24113.0	2240227.64
24188.0	2240433.546666667
24263.0	2241044.7866666666
24338.0	2241022.546666667
24413.0	2239888.48
24488.0	2240447.7466666666
24563.0	2242320.1466666665
24638.0	2242626.4266666668
24713.0	2241772.76
24788.0	2246250.533333333
24863.0	2251627.88
24938.0	2257927.44
25013.0	2251637.96
25088.0	2245262.1733333333
25163.0	2244861.1466666665
25238.0	2244984.8933333335
25313.0	2230425.48
25388.0	2238668.066666667
25463.0	2244534.76
25538.0	2241986.8
25613.0	2233508.2133333334
25688.0	2231935.28
25763.0	2234091.4
25838.0	2234202.64
25913.0	2235185.76
25988.0	2241302.6666666665
26063.0	2247415.2
26138.0	2248698.013333333
26213.0	2249440.7466666666
26288.0	2254436.08
26363.0	2256363.04
26438.0	2258714.6133333333
26513.0	2255355.533333333
26588.0	2254885.4133333336
26663.0	2261564.466666667
26738.0	2264726.7866666666
26813.0	2281990.4133333336
26888.0	2478014.453333333
26963.0	2563245.6533333333
27038.0	2542103.6133333333
27113.0	3068117.0933333333
