#Position (bp)	mapping quality
38.0	60.0
113.0	60.0
188.0	59.99873806419047
263.0	60.0
338.0	59.9878974307254
413.0	59.992707826932424
488.0	59.649895233801026
563.0	60.0
638.0	60.0
713.0	59.93834641934974
788.0	60.0
863.0	60.0
938.0	60.0
1013.0	59.99758492996297
1088.0	60.0
1163.0	60.0
1238.0	59.99390748074329
1313.0	60.0
1388.0	60.0
1463.0	60.0
1538.0	60.0
1613.0	60.0
1688.0	60.0
1763.0	59.972073539678846
1838.0	59.97666334443445
1913.0	59.98800274223035
1988.0	60.0
2063.0	60.0
2138.0	59.96398261229559
2213.0	60.0
2288.0	59.98160412067697
2363.0	60.0
2438.0	60.0
2513.0	60.0
2588.0	60.0
2663.0	60.0
2738.0	60.0
2813.0	60.0
2888.0	60.0
2963.0	60.0
3038.0	60.0
3113.0	60.0
3188.0	60.0
3263.0	59.99862040422156
3338.0	60.0
3413.0	60.0
3488.0	60.0
3563.0	60.0
3638.0	59.99628574965953
3713.0	60.0
3788.0	60.0
3863.0	59.99858390370545
3938.0	59.95877616747182
4013.0	60.0
4088.0	60.0
4163.0	60.0
4238.0	60.0
4313.0	60.0
4388.0	60.0
4463.0	60.0
4538.0	59.97636709774831
4613.0	60.0
4688.0	60.0
4763.0	60.0
4838.0	59.98729851513593
4913.0	60.0
4988.0	60.0
5063.0	60.0
5138.0	60.0
5213.0	59.99578296317121
5288.0	60.0
5363.0	59.9905563862438
5438.0	60.0
5513.0	60.0
5588.0	60.0
5663.0	59.99859616284511
5738.0	59.998776583814205
5813.0	60.0
5888.0	60.0
5963.0	60.0
6038.0	59.95902612826603
6113.0	59.99653699642156
6188.0	60.0
6263.0	59.99419972287565
6338.0	59.996939296038086
6413.0	59.99874911395572
6488.0	60.0
6563.0	60.0
6638.0	60.0
6713.0	59.99882038376848
6788.0	59.99610117452117
6863.0	60.0
6938.0	60.0
7013.0	60.0
7088.0	60.0
7163.0	60.0
7238.0	60.0
7313.0	59.99751737835154
7388.0	60.0
7463.0	59.98790522091297
7538.0	59.99878822151311
7613.0	60.0
7688.0	59.99779062488493
7763.0	59.99374478732277
7838.0	60.0
7913.0	59.98699265325786
7988.0	60.0
8063.0	59.988050982474775
8138.0	60.0
8213.0	60.0
8288.0	60.0
8363.0	59.998193424063594
8438.0	59.998368634274996
8513.0	60.0
8588.0	60.0
8663.0	60.0
8738.0	59.99713801903217
8813.0	60.0
8888.0	59.998010873889406
8963.0	59.98307562120163
9038.0	59.997201753567765
9113.0	60.0
9188.0	60.0
9263.0	60.0
9338.0	60.0
9413.0	60.0
9488.0	59.998482932996204
9563.0	60.0
9638.0	59.99782055938976
9713.0	60.0
9788.0	60.0
9863.0	60.0
9938.0	59.9964060019767
10013.0	60.0
10088.0	59.988389450986894
10163.0	60.0
10238.0	60.0
10313.0	60.0
10388.0	60.0
10463.0	59.996957403651116
10538.0	60.0
10613.0	60.0
10688.0	60.0
10763.0	60.0
10838.0	59.97889652261589
10913.0	59.98660153524075
10988.0	59.996533394961865
11063.0	59.97874036672867
11138.0	59.99431958040634
11213.0	59.99763318277746
11288.0	60.0
11363.0	60.0
11438.0	60.0
11513.0	60.0
11588.0	59.9980528331278
11663.0	59.98177399756987
11738.0	60.0
11813.0	60.0
11888.0	59.99401874127733
11963.0	59.99820208558073
12038.0	60.0
12113.0	60.0
12188.0	60.0
12263.0	59.99510084102229
12338.0	59.99234921579462
12413.0	60.0
12488.0	59.98933468765871
12563.0	60.0
12638.0	60.0
12713.0	60.0
12788.0	60.0
12863.0	59.99555489702178
12938.0	59.99259137306552
13013.0	60.0
13088.0	60.0
13163.0	60.0
13238.0	60.0
13313.0	60.0
13388.0	59.989719866358264
13463.0	60.0
13538.0	60.0
13613.0	59.99515972894482
13688.0	59.997719021460206
13763.0	60.0
13838.0	60.0
13913.0	59.98782319275886
13988.0	60.0
14063.0	60.0
14138.0	59.99362256195858
14213.0	60.0
14288.0	60.0
14363.0	59.99094202898551
14438.0	59.99878113192216
14513.0	60.0
14588.0	60.0
14663.0	59.986766976254074
14738.0	59.99376898512345
14813.0	60.0
14888.0	59.993282579489474
14963.0	60.0
15038.0	59.82570806100218
15113.0	60.0
15188.0	59.99212288302481
15263.0	60.0
15338.0	60.0
15413.0	59.932863376972136
15488.0	60.0
15563.0	59.987033257293795
15638.0	60.0
15713.0	60.0
15788.0	59.99815560542252
15863.0	59.99178054042947
15938.0	59.99174292988371
16013.0	59.988626670457776
16088.0	59.99778333312808
16163.0	60.0
16238.0	59.99577524292353
16313.0	60.0
16388.0	60.0
16463.0	60.0
16538.0	60.0
16613.0	59.99823819591261
16688.0	59.995569012628316
16763.0	59.97659906396256
16838.0	59.99718785151856
16913.0	59.97837578087458
16988.0	60.0
17063.0	59.98923211521637
17138.0	59.99868041962656
17213.0	59.975156682287846
17288.0	60.0
17363.0	60.0
17438.0	60.0
17513.0	60.0
17588.0	60.0
17663.0	60.0
17738.0	59.986334303429075
17813.0	59.985887182996194
17888.0	60.0
17963.0	60.0
18038.0	60.0
18113.0	60.0
18188.0	60.0
18263.0	60.0
18338.0	60.0
18413.0	60.0
18488.0	59.997852579588766
18563.0	60.0
18638.0	59.998487102549234
18713.0	60.0
18788.0	60.0
18863.0	60.0
18938.0	60.0
19013.0	60.0
19088.0	59.99579998599995
19163.0	59.997053768720846
19238.0	60.0
19313.0	60.0
19388.0	60.0
19463.0	60.0
19538.0	60.0
19613.0	60.0
19688.0	60.0
19763.0	59.98665381478461
19838.0	60.0
19913.0	60.0
19988.0	60.0
20063.0	60.0
20138.0	59.96212121212121
20213.0	59.99620205089252
20288.0	60.0
20363.0	60.0
20438.0	60.0
20513.0	59.99430668016194
20588.0	59.996437054631826
20663.0	60.0
20738.0	59.99075856757798
20813.0	59.995703442020336
20888.0	59.99867327082965
20963.0	59.98975468154135
21038.0	60.0
21113.0	59.99331662489557
21188.0	60.0
21263.0	60.0
21338.0	60.0
21413.0	60.0
21488.0	60.0
21563.0	60.0
21638.0	60.0
21713.0	59.97598612531685
21788.0	60.0
21863.0	59.91881704841983
21938.0	60.0
22013.0	59.94394573297047
22088.0	59.97966676080203
22163.0	60.0
22238.0	59.99802306425041
22313.0	60.0
22388.0	60.0
22463.0	60.0
22538.0	60.0
22613.0	60.0
22688.0	59.99768892997458
22763.0	59.96359632367812
22838.0	59.99053286448472
22913.0	60.0
22988.0	59.9971363115693
23063.0	60.0
23138.0	60.0
23213.0	60.0
23288.0	60.0
23363.0	60.0
23438.0	60.0
23513.0	60.0
23588.0	59.91905792417301
23663.0	59.996488044718895
23738.0	60.0
23813.0	60.0
23888.0	59.99757472867277
23963.0	60.0
24038.0	60.0
24113.0	60.0
24188.0	60.0
24263.0	60.0
24338.0	60.0
24413.0	60.0
24488.0	59.99229326688417
24563.0	60.0
24638.0	60.0
24713.0	60.0
24788.0	60.0
24863.0	59.99884089328491
24938.0	59.997538663494275
25013.0	60.0
25088.0	59.995455578277664
25163.0	60.0
25238.0	60.0
25313.0	60.0
25388.0	60.0
25463.0	59.996422289138664
25538.0	59.99165884683558
25613.0	60.0
25688.0	60.0
25763.0	59.99416399182959
25838.0	60.0
25913.0	60.0
25988.0	60.0
26063.0	60.0
26138.0	60.0
26213.0	60.0
26288.0	59.98519919417835
26363.0	59.99007655231075
26438.0	60.0
26513.0	59.97840623127621
26588.0	59.96138169729262
26663.0	60.0
26738.0	60.0
26813.0	59.918953504905446
26888.0	60.0
26963.0	60.0
27038.0	60.0
27113.0	60.0
27188.0	59.9949342507968
27263.0	59.999043550341135
27338.0	60.0
27413.0	59.98877525567473
27488.0	60.0
27563.0	60.0
27638.0	60.0
27713.0	60.0
27788.0	59.934138309549944
27863.0	60.0
27938.0	60.0
28013.0	60.0
28088.0	60.0
28163.0	59.998937677053824
28238.0	59.99688214508418
28313.0	60.0
28388.0	59.99116786575156
28463.0	60.0
28538.0	60.0
28613.0	59.998975864541016
28688.0	59.99731321227862
28763.0	60.0
28838.0	60.0
28913.0	60.0
28988.0	60.0
29063.0	59.841420607061735
29138.0	59.998894946220716
29213.0	60.0
29288.0	59.998897686979845
29363.0	60.0
29438.0	59.98616315941194
29513.0	59.99731855559528
29588.0	59.94801935830794
29663.0	59.995319447694825
29738.0	59.99405086510337
29813.0	60.0
29877.0	4.889669007021063
