#Position (bp)	mapping quality
38.0	60.0
113.0	60.0
188.0	60.0
263.0	60.0
338.0	60.0
413.0	60.0
488.0	60.0
563.0	59.99688845096718
638.0	59.995890129460925
713.0	59.9965075669383
788.0	60.0
863.0	60.0
938.0	60.0
1013.0	60.0
1088.0	60.0
1163.0	60.0
1238.0	60.0
1313.0	60.0
1388.0	60.0
1463.0	59.99673184813987
1538.0	60.0
1613.0	60.0
1688.0	59.99638706569519
1763.0	59.982439024390246
1838.0	59.99288804599063
1913.0	60.0
1988.0	60.0
2063.0	60.0
2138.0	60.0
2213.0	60.0
2288.0	60.0
2363.0	60.0
2438.0	60.0
2513.0	60.0
2588.0	59.97454391175223
2663.0	60.0
2738.0	60.0
2813.0	60.0
2888.0	60.0
2963.0	60.0
3038.0	60.0
3113.0	60.0
3188.0	60.0
3263.0	60.0
3338.0	60.0
3413.0	60.0
3488.0	60.0
3563.0	60.0
3638.0	60.0
3713.0	60.0
3788.0	60.0
3863.0	59.986743261157756
3938.0	60.0
4013.0	60.0
4088.0	60.0
4163.0	60.0
4238.0	60.0
4313.0	60.0
4388.0	60.0
4463.0	60.0
4538.0	60.0
4613.0	60.0
4688.0	60.0
4763.0	60.0
4838.0	60.0
4913.0	60.0
4988.0	60.0
5063.0	59.99519577227961
5138.0	59.991207502930834
5213.0	60.0
5288.0	60.0
5363.0	60.0
5438.0	60.0
5513.0	59.99585921325052
5588.0	60.0
5663.0	60.0
5738.0	60.0
5813.0	60.0
5888.0	60.0
5963.0	60.0
6038.0	60.0
6113.0	60.0
6188.0	59.995005410804964
6263.0	60.0
6338.0	60.0
6413.0	60.0
6488.0	60.0
6563.0	59.99738094198786
6638.0	60.0
6713.0	59.99014751361559
6788.0	60.0
6863.0	59.99651466744118
6938.0	60.0
7013.0	60.0
7088.0	60.0
7163.0	60.0
7238.0	60.0
7313.0	60.0
7388.0	60.0
7463.0	59.99722106433236
7538.0	59.99748701625063
7613.0	59.99628758816978
7688.0	59.99423631123919
7763.0	59.99671034596195
7838.0	60.0
7913.0	60.0
7988.0	59.996755704552825
8063.0	60.0
8138.0	60.0
8213.0	60.0
8288.0	60.0
8363.0	60.0
8438.0	59.99754931993628
8513.0	60.0
8588.0	60.0
8663.0	60.0
8738.0	60.0
8813.0	60.0
8888.0	60.0
8963.0	60.0
9038.0	60.0
9113.0	59.995968419284395
9188.0	60.0
9263.0	60.0
9338.0	59.99734970625911
9413.0	59.99749812359269
9488.0	59.99119847440223
9563.0	59.99754691524592
9638.0	59.995635887551366
9713.0	59.99744572158365
9788.0	60.0
9863.0	60.0
9938.0	60.0
10013.0	60.0
10088.0	60.0
10163.0	60.0
10238.0	60.0
10313.0	60.0
10388.0	60.0
10463.0	60.0
10538.0	60.0
10613.0	60.0
10688.0	60.0
10763.0	60.0
10838.0	60.0
10913.0	60.0
10988.0	60.0
11063.0	59.980588806211586
11138.0	59.99465859521054
11213.0	60.0
11288.0	60.0
11363.0	59.988833054159684
11438.0	59.997650651944085
11513.0	59.997893997893996
11588.0	60.0
11663.0	59.996204573488946
11738.0	59.99809916046254
11813.0	59.99540229885057
11888.0	60.0
11963.0	60.0
12038.0	60.0
12113.0	60.0
12188.0	60.0
12263.0	60.0
12338.0	60.0
12413.0	59.997099347353156
12488.0	59.99739921976593
12563.0	59.99525454114049
12638.0	60.0
12713.0	60.0
12788.0	59.99755441428222
12863.0	59.997733711048156
12938.0	60.0
13013.0	60.0
13088.0	60.0
13163.0	60.0
13238.0	60.0
13313.0	60.0
13388.0	59.99316317228806
13463.0	60.0
13538.0	60.0
13613.0	59.9554367201426
13688.0	60.0
13763.0	60.0
13838.0	59.997032640949556
13913.0	60.0
13988.0	60.0
14063.0	60.0
14138.0	60.0
14213.0	60.0
14288.0	59.997393344339216
14363.0	59.99820590258051
14438.0	60.0
14513.0	60.0
14588.0	60.0
14663.0	60.0
14738.0	59.99648392862375
14813.0	59.99143285500107
14888.0	59.996713409290095
14963.0	60.0
15038.0	59.996732915872585
15113.0	60.0
15188.0	60.0
15263.0	60.0
15338.0	60.0
15413.0	60.0
15488.0	60.0
15563.0	59.99673717983577
15638.0	59.997900703264406
15713.0	59.9981722919459
15788.0	60.0
15863.0	59.99719848718308
15938.0	59.99838457810565
16013.0	59.99877425944842
16088.0	59.991802532106746
16163.0	60.0
16238.0	60.0
16313.0	60.0
16388.0	60.0
16463.0	60.0
16538.0	60.0
16613.0	59.9977742330378
16688.0	60.0
16763.0	60.0
16838.0	59.99799806479597
16913.0	60.0
16988.0	60.0
17063.0	59.99856018429641
17138.0	59.998652321376426
17213.0	59.998152168891764
17288.0	59.97505957989248
17363.0	59.99880604143036
17438.0	60.0
17513.0	60.0
17588.0	60.0
17663.0	60.0
17738.0	60.0
17813.0	60.0
17888.0	60.0
17963.0	60.0
18038.0	59.98956340233084
18113.0	60.0
18188.0	60.0
18263.0	60.0
18338.0	59.99719534427149
18413.0	59.997946752446786
18488.0	60.0
18563.0	60.0
18638.0	59.99543118218161
18713.0	59.99847673208256
18788.0	59.99389698103995
18863.0	59.99836832372457
18938.0	60.0
19013.0	60.0
19088.0	60.0
19163.0	60.0
19238.0	60.0
19313.0	60.0
19388.0	60.0
19463.0	60.0
19538.0	60.0
19613.0	59.993780449880795
19688.0	59.98951965065502
19763.0	60.0
19838.0	60.0
19913.0	60.0
19988.0	60.0
20063.0	60.0
20138.0	60.0
20213.0	60.0
20288.0	60.0
20363.0	60.0
20438.0	60.0
20513.0	60.0
20588.0	60.0
20663.0	59.99559147685525
20738.0	59.99758054760272
20813.0	60.0
20888.0	60.0
20963.0	60.0
21038.0	60.0
21113.0	59.99568593615186
21188.0	60.0
21263.0	60.0
21338.0	59.95264404104183
21413.0	60.0
21488.0	60.0
21563.0	60.0
21638.0	60.0
21713.0	60.0
21788.0	60.0
21863.0	60.0
21938.0	60.0
22013.0	60.0
22088.0	60.0
22163.0	60.0
22238.0	60.0
22313.0	59.97658993367148
22388.0	0.0
22463.0	0.0
22538.0	60.0
22613.0	60.0
22688.0	60.0
22763.0	60.0
22838.0	59.99604821181585
22913.0	60.0
22988.0	60.0
23063.0	60.0
23138.0	60.0
23213.0	60.0
23288.0	60.0
23363.0	60.0
23438.0	59.997121611897335
23513.0	59.989624762234136
23588.0	60.0
23663.0	60.0
23738.0	59.994823570011214
23813.0	60.0
23888.0	60.0
23963.0	60.0
24038.0	60.0
24113.0	60.0
24188.0	60.0
24263.0	60.0
24338.0	60.0
24413.0	60.0
24488.0	60.0
24563.0	59.99323410013532
24638.0	60.0
24713.0	59.99562522785271
24788.0	59.99735496385117
24863.0	60.0
24938.0	60.0
25013.0	59.99687695190506
25088.0	59.98752858033673
25163.0	59.99800876144962
25238.0	60.0
25313.0	60.0
25388.0	60.0
25463.0	60.0
25538.0	59.995687486523394
25613.0	59.97617471872932
25688.0	59.983249581239534
25763.0	60.0
25838.0	60.0
25913.0	60.0
25988.0	60.0
26063.0	59.9975480179812
26138.0	60.0
26213.0	60.0
26288.0	60.0
26363.0	60.0
26438.0	60.0
26513.0	60.0
26588.0	59.99718574108818
26663.0	60.0
26738.0	59.99401416647268
26813.0	59.99654636504921
26888.0	60.0
26963.0	60.0
27038.0	59.98659966499162
27113.0	60.0
27188.0	59.99551334779032
27263.0	59.997776954427565
27338.0	59.99646819907584
27413.0	60.0
27488.0	59.99499874968742
27563.0	60.0
27638.0	60.0
27713.0	60.0
27788.0	60.0
27863.0	59.75708502024292
27938.0	0.0
28013.0	0.0
28088.0	60.0
28163.0	60.0
28238.0	59.96949669547534
28313.0	60.0
28388.0	60.0
28463.0	60.0
28538.0	60.0
28613.0	60.0
28688.0	60.0
28763.0	60.0
28838.0	60.0
28913.0	60.0
28988.0	60.0
29063.0	60.0
29138.0	60.0
29213.0	60.0
29288.0	59.99272903538536
29363.0	60.0
29438.0	60.0
29513.0	60.0
29588.0	60.0
29663.0	60.0
29738.0	59.98485995457986
29813.0	60.0
29877.0	60.0
