#Position (bp)	Coverage
38.0	1498.7866666666666
113.0	2131.9733333333334
188.0	2178.2533333333336
263.0	1961.28
338.0	5512.266666666666
413.0	5242.866666666667
488.0	4936.96
563.0	5460.546666666667
638.0	5109.546666666667
713.0	7148.36
788.0	6022.533333333334
863.0	4840.866666666667
938.0	7309.8133333333335
1013.0	10513.56
1088.0	6539.533333333334
1163.0	8679.413333333334
1238.0	8973.16
1313.0	7989.426666666666
1388.0	7968.933333333333
1463.0	8308.066666666668
1538.0	9841.146666666667
1613.0	9735.186666666666
1688.0	7420.88
1763.0	7827.173333333333
1838.0	9082.493333333334
1913.0	16147.226666666667
1988.0	9662.666666666666
2063.0	11156.933333333332
2138.0	9199.106666666667
2213.0	10551.573333333334
2288.0	6854.826666666667
2363.0	6185.386666666666
2438.0	6655.933333333333
2513.0	10567.653333333334
2588.0	11466.093333333334
2663.0	11992.106666666667
2738.0	10523.76
2813.0	10974.133333333333
2888.0	11621.866666666667
2963.0	4425.306666666666
3038.0	3673.4
3113.0	4362.586666666667
3188.0	7461.0
3263.0	3943.6666666666665
3338.0	4745.16
3413.0	3703.08
3488.0	7204.28
3563.0	5088.893333333333
3638.0	4571.066666666667
3713.0	5275.626666666667
3788.0	7451.24
3863.0	4372.8
3938.0	5656.2266666666665
4013.0	4947.613333333334
4088.0	14028.653333333334
4163.0	17697.373333333333
4238.0	13862.8
4313.0	21092.013333333332
4388.0	14901.693333333333
4463.0	18152.8
4538.0	12322.106666666667
4613.0	14469.0
4688.0	19198.613333333335
4763.0	10083.28
4838.0	14628.533333333333
4913.0	12099.906666666666
4988.0	15820.56
5063.0	9435.6
5138.0	10662.266666666666
5213.0	10443.906666666666
5288.0	10310.693333333333
5363.0	10893.066666666668
5438.0	10217.946666666667
5513.0	9822.12
5588.0	16632.933333333334
5663.0	7466.666666666667
5738.0	10827.253333333334
5813.0	8174.92
5888.0	9212.906666666666
5963.0	6336.44
6038.0	4933.1466666666665
6113.0	5932.16
6188.0	13287.773333333333
6263.0	12994.773333333333
6338.0	10953.48
6413.0	9990.813333333334
6488.0	14767.826666666666
6563.0	5283.72
6638.0	4432.64
6713.0	5304.426666666666
6788.0	4323.426666666666
6863.0	4578.546666666667
6938.0	1057.32
7013.0	2337.6133333333332
7088.0	6873.36
7163.0	4244.28
7238.0	3743.2
7313.0	4969.933333333333
7388.0	7295.946666666667
7463.0	4073.306666666667
7538.0	4215.733333333334
7613.0	4989.373333333333
7688.0	5484.16
7763.0	4419.706666666667
7838.0	3923.8
7913.0	3783.0533333333333
7988.0	10445.84
8063.0	3892.16
8138.0	5218.733333333334
8213.0	4285.666666666667
8288.0	9022.32
8363.0	3515.5333333333333
8438.0	2971.5733333333333
8513.0	3616.3866666666668
8588.0	3457.3733333333334
8663.0	7010.693333333334
8738.0	5285.4
8813.0	5977.8533333333335
8888.0	7421.24
8963.0	16731.786666666667
9038.0	9814.213333333333
9113.0	12984.453333333333
9188.0	14224.44
9263.0	22483.346666666668
9338.0	19110.946666666667
9413.0	22375.546666666665
9488.0	25174.493333333332
9563.0	26902.626666666667
9638.0	20100.346666666668
9713.0	18243.24
9788.0	20008.48
9863.0	19666.093333333334
9938.0	13284.333333333334
10013.0	12685.253333333334
10088.0	17008.226666666666
10163.0	14932.053333333333
10238.0	8714.066666666668
10313.0	10393.506666666666
10388.0	25265.226666666666
10463.0	26392.133333333335
10538.0	24735.44
10613.0	23855.133333333335
10688.0	33970.933333333334
10763.0	35703.09333333333
10838.0	25261.266666666666
10913.0	34810.90666666667
10988.0	40699.96
11063.0	41128.973333333335
11138.0	36105.62666666666
11213.0	43474.92
11288.0	45480.746666666666
11363.0	57538.666666666664
11438.0	33042.066666666666
11513.0	35547.04
11588.0	40385.346666666665
11663.0	33455.293333333335
11738.0	27767.013333333332
11813.0	23327.24
11888.0	30676.48
11963.0	15645.84
12038.0	11906.786666666667
12113.0	16433.18666666667
12188.0	17129.533333333333
12263.0	11355.786666666667
12338.0	12195.8
12413.0	14782.64
12488.0	17130.453333333335
12563.0	12657.973333333333
12638.0	11979.786666666667
12713.0	15401.12
12788.0	15491.213333333333
12863.0	9401.56
12938.0	9807.826666666666
13013.0	23131.893333333333
13088.0	23222.56
13163.0	34418.45333333333
13238.0	25042.413333333334
13313.0	27181.213333333333
13388.0	35515.56
13463.0	30544.4
13538.0	39719.973333333335
13613.0	22260.12
13688.0	31602.413333333334
13763.0	40132.16
13838.0	34356.50666666667
13913.0	30909.946666666667
13988.0	27829.04
14063.0	18443.52
14138.0	19952.76
14213.0	24855.18666666667
14288.0	15881.6
14363.0	19690.853333333333
