#Position (bp)	Coverage
38.0	7.8
113.0	0.10666666666666667
188.0	0.0
263.0	0.0
338.0	11.813333333333333
413.0	67.24
488.0	79.0
563.0	85.34666666666666
638.0	75.08
713.0	86.82666666666667
788.0	125.42666666666666
863.0	238.18666666666667
938.0	298.2
1013.0	625.5066666666667
1088.0	773.1066666666667
1163.0	745.4
1238.0	662.5733333333334
1313.0	231.82666666666665
1388.0	49.693333333333335
1463.0	55.733333333333334
1538.0	57.13333333333333
1613.0	19.933333333333334
1688.0	21.72
1763.0	20.92
1838.0	19.946666666666665
1913.0	18.12
1988.0	18.546666666666667
2063.0	23.48
2138.0	26.253333333333334
2213.0	38.8
2288.0	102.29333333333334
2363.0	114.10666666666667
2438.0	101.92
2513.0	80.81333333333333
2588.0	14.773333333333333
2663.0	0.0
2738.0	0.0
2813.0	1.0
2888.0	13.413333333333334
2963.0	8.44
3038.0	8.293333333333333
3113.0	7.133333333333334
3188.0	103.04
3263.0	233.69333333333333
3338.0	188.33333333333334
3413.0	173.25333333333333
3488.0	125.10666666666667
3563.0	186.89333333333335
3638.0	168.02666666666667
3713.0	177.66666666666666
3788.0	115.8
3863.0	97.89333333333333
3938.0	96.56
4013.0	97.65333333333334
4088.0	91.77333333333333
4163.0	23.2
4238.0	11.493333333333334
4313.0	16.573333333333334
4388.0	16.16
4463.0	14.253333333333334
4538.0	14.466666666666667
4613.0	13.893333333333333
4688.0	117.05333333333333
4763.0	337.81333333333333
4838.0	344.5466666666667
4913.0	367.88
4988.0	156.17333333333335
5063.0	70.57333333333334
5138.0	69.76
5213.0	71.90666666666667
5288.0	24.133333333333333
5363.0	0.0
5438.0	0.0
5513.0	0.0
5588.0	189.28
5663.0	706.1066666666667
5738.0	723.2266666666667
5813.0	736.6933333333334
5888.0	541.3866666666667
5963.0	325.6666666666667
6038.0	307.84
6113.0	295.7866666666667
6188.0	261.4
6263.0	102.10666666666667
6338.0	65.0
6413.0	67.94666666666667
6488.0	67.46666666666667
6563.0	96.44
6638.0	126.36
6713.0	128.84
6788.0	156.04
6863.0	92.09333333333333
6938.0	84.50666666666666
7013.0	62.77333333333333
7088.0	35.266666666666666
7163.0	34.44
7238.0	30.12
7313.0	52.96
7388.0	84.98666666666666
7463.0	123.54666666666667
7538.0	128.89333333333335
7613.0	99.58666666666667
7688.0	13.36
7763.0	0.0
7838.0	0.0
7913.0	0.0
7988.0	10.12
8063.0	18.613333333333333
8138.0	16.88
8213.0	15.0
8288.0	47.89333333333333
8363.0	106.22666666666667
8438.0	104.81333333333333
8513.0	116.41333333333333
8588.0	93.78666666666666
8663.0	15.093333333333334
8738.0	1.5733333333333333
8813.0	0.10666666666666667
8888.0	0.0
8963.0	0.0
9038.0	0.0
9113.0	0.0
9188.0	0.0
9263.0	1.0666666666666667
9338.0	0.0
9413.0	2.4266666666666667
9488.0	36.32
9563.0	209.76
9638.0	243.0
9713.0	239.85333333333332
9788.0	157.29333333333332
9863.0	22.14666666666667
9938.0	0.0
10013.0	0.0
10088.0	0.0
10163.0	0.0
10238.0	0.0
10313.0	0.0
10388.0	0.0
10463.0	0.0
10538.0	0.0
10613.0	0.0
10688.0	0.64
10763.0	0.92
10838.0	1.1066666666666667
10913.0	2.026666666666667
10988.0	8.213333333333333
11063.0	180.93333333333334
11138.0	309.5733333333333
11213.0	309.41333333333336
11288.0	316.0933333333333
11363.0	175.52
11438.0	124.09333333333333
11513.0	83.92
11588.0	142.92
11663.0	227.90666666666667
11738.0	212.2
11813.0	233.2
11888.0	124.05333333333333
11963.0	5.666666666666667
12038.0	0.0
12113.0	34.0
12188.0	257.1333333333333
12263.0	323.85333333333335
12338.0	374.52
12413.0	284.1333333333333
12488.0	90.38666666666667
12563.0	82.48
12638.0	78.29333333333334
12713.0	91.62666666666667
12788.0	235.78666666666666
12863.0	270.05333333333334
12938.0	293.9066666666667
13013.0	340.12
13088.0	781.4
13163.0	856.5866666666667
13238.0	869.9333333333333
13313.0	782.8533333333334
13388.0	146.62666666666667
13463.0	0.0
13538.0	0.0
13613.0	2.5866666666666664
13688.0	23.28
13763.0	21.773333333333333
13838.0	23.2
13913.0	41.93333333333333
13988.0	283.7866666666667
14063.0	467.32
14138.0	451.29333333333335
14213.0	258.52
14288.0	157.50666666666666
14363.0	126.44
