#Position (bp)	Coverage
38.0	42.13333333333333
113.0	239.05333333333334
188.0	1034.16
263.0	2277.133333333333
338.0	3467.7733333333335
413.0	4609.04
488.0	5615.24
563.0	7223.506666666667
638.0	8991.146666666667
713.0	10037.146666666667
788.0	10213.013333333334
863.0	9733.64
938.0	9284.346666666666
1013.0	8697.32
1088.0	8049.68
1163.0	7859.6
1238.0	7829.453333333333
1313.0	7824.44
1388.0	7989.613333333334
1463.0	9477.213333333333
1538.0	11344.693333333333
1613.0	12123.666666666666
1688.0	11981.386666666667
1763.0	11308.506666666666
1838.0	9911.813333333334
1913.0	9180.4
1988.0	8456.4
2063.0	8853.96
2138.0	8903.066666666668
2213.0	8358.493333333334
2288.0	7160.68
2363.0	6105.893333333333
2438.0	5594.546666666667
2513.0	5316.48
2588.0	5800.8
2663.0	5921.706666666667
2738.0	6032.4
2813.0	6279.68
2888.0	6773.666666666667
2963.0	7757.08
3038.0	9813.16
3113.0	12117.533333333333
3188.0	11996.52
3263.0	8870.466666666667
3338.0	5468.1466666666665
3413.0	5209.106666666667
3488.0	6484.88
3563.0	7045.68
3638.0	5501.613333333334
3713.0	5035.08
3788.0	5264.413333333333
3863.0	5510.28
3938.0	5354.32
4013.0	3975.266666666667
4088.0	3346.213333333333
4163.0	2878.6133333333332
4238.0	2795.5333333333333
4313.0	2862.9866666666667
4388.0	2928.36
4463.0	2798.12
4538.0	3087.0933333333332
4613.0	3970.32
4688.0	4207.653333333334
4763.0	3377.9866666666667
4838.0	2456.68
4913.0	2501.266666666667
4988.0	2795.36
5063.0	2601.0266666666666
5138.0	2577.1466666666665
5213.0	3383.4533333333334
5288.0	4548.8133333333335
5363.0	5866.013333333333
5438.0	6702.586666666667
5513.0	7070.906666666667
5588.0	5720.426666666666
5663.0	4072.266666666667
5738.0	2465.2533333333336
5813.0	1270.0133333333333
5888.0	831.7866666666666
5963.0	524.76
6038.0	475.82666666666665
6113.0	666.28
6188.0	1039.28
6263.0	1679.7733333333333
6338.0	1855.8
6413.0	1464.2266666666667
6488.0	699.8666666666667
6563.0	328.4
6638.0	394.82666666666665
6713.0	441.0933333333333
6788.0	270.38666666666666
6863.0	288.9866666666667
6938.0	344.9866666666667
7013.0	987.2133333333334
7088.0	1224.36
7163.0	1085.6533333333334
7238.0	933.5066666666667
7313.0	777.2133333333334
7388.0	706.8933333333333
7463.0	1434.8266666666666
7538.0	2665.786666666667
7613.0	4278.36
7688.0	5426.906666666667
7763.0	5862.293333333333
7838.0	5449.6
7913.0	4972.626666666667
7988.0	6250.466666666666
8063.0	7627.626666666667
8138.0	7708.373333333333
8213.0	6335.76
8288.0	4833.36
8363.0	4005.8
8438.0	4073.5866666666666
8513.0	3652.32
8588.0	3075.3733333333334
8663.0	3519.0666666666666
8738.0	4805.306666666666
8813.0	5640.2266666666665
8888.0	6068.52
8963.0	5350.08
9038.0	4535.346666666666
9113.0	3527.9866666666667
9188.0	2815.68
9263.0	2050.9733333333334
9338.0	1735.48
9413.0	1949.44
9488.0	1799.72
9563.0	1168.1066666666666
9638.0	1021.0533333333333
9713.0	1176.3466666666666
9788.0	1175.68
9863.0	1023.68
9938.0	2821.6133333333332
10013.0	5366.333333333333
10088.0	7031.293333333333
10163.0	7580.626666666667
10238.0	7718.253333333333
10313.0	8502.573333333334
10388.0	8393.16
10463.0	7088.8133333333335
10538.0	5766.6
10613.0	6235.546666666667
10688.0	7284.213333333333
10763.0	8188.24
10838.0	8166.24
10913.0	8097.44
10988.0	8270.68
11063.0	8481.44
11138.0	8792.226666666667
11213.0	8330.426666666666
11288.0	8173.68
11363.0	7909.893333333333
11438.0	7181.986666666667
11513.0	6901.04
11588.0	6458.84
11663.0	7263.133333333333
11738.0	9181.68
11813.0	11893.466666666667
11888.0	13905.0
11963.0	14742.786666666667
12038.0	14612.133333333333
12113.0	15205.773333333333
12188.0	15350.226666666667
12263.0	14399.906666666666
12338.0	12323.773333333333
12413.0	11378.466666666667
12488.0	11419.8
