#Position (bp)	mapping quality
38.0	59.99831500117014
113.0	60.0
188.0	60.0
263.0	60.0
338.0	60.0
413.0	59.97482165337809
488.0	59.45807971725898
563.0	59.671907040328094
638.0	60.0
713.0	59.93396918561996
788.0	60.0
863.0	59.989340913128444
938.0	59.95305164319249
1013.0	59.97946611909651
1088.0	60.0
1163.0	60.0
1238.0	60.0
1313.0	60.0
1388.0	60.0
1463.0	60.0
1538.0	60.0
1613.0	60.0
1688.0	60.0
1763.0	60.0
1838.0	60.0
1913.0	59.97907949790795
1988.0	59.71937639198218
2063.0	58.59146865158889
2138.0	59.98775260257195
2213.0	60.0
2288.0	60.0
2363.0	60.0
2438.0	60.0
2513.0	60.0
2588.0	60.0
2663.0	60.0
2738.0	60.0
2813.0	59.9739921976593
2888.0	59.96005326231691
2963.0	60.0
3038.0	60.0
3113.0	59.973544973544975
3188.0	60.0
3263.0	60.0
3338.0	59.95418973086467
3413.0	60.0
3488.0	60.0
3563.0	58.68852459016394
3638.0	60.0
3713.0	60.0
3788.0	59.98044965786901
3863.0	60.0
3938.0	60.0
4013.0	59.9479843953186
4088.0	59.98865570051049
4163.0	59.987107864202834
4238.0	59.97953964194373
4313.0	60.0
4388.0	59.97978096040438
4463.0	60.0
4538.0	60.0
4613.0	60.0
4688.0	60.0
4763.0	60.0
4838.0	59.90800681431005
4913.0	59.93150684931507
4988.0	59.9705304518664
5063.0	60.0
5138.0	60.0
5213.0	60.0
5288.0	60.0
5363.0	60.0
5438.0	60.0
5513.0	60.0
5588.0	59.98701298701299
5663.0	60.0
5738.0	60.0
5813.0	59.97458703939009
5888.0	59.9859616284511
5963.0	60.0
6038.0	60.0
6113.0	60.0
6188.0	59.95425957690109
6263.0	60.0
6338.0	59.99286563614744
6413.0	59.973329382130686
6488.0	60.0
6563.0	60.0
6638.0	59.47803392779469
6713.0	59.89845568013539
6788.0	60.0
6863.0	59.93002915451895
6938.0	60.0
7013.0	60.0
7088.0	60.0
7163.0	60.0
7238.0	59.97194295066635
7313.0	60.0
7388.0	60.0
7463.0	59.955621301775146
7538.0	60.0
7613.0	60.0
7688.0	60.0
7763.0	59.92583436341162
7838.0	60.0
7913.0	59.95893155258764
7988.0	59.88275686673449
8063.0	60.0
8138.0	59.977924944812365
8213.0	60.0
8288.0	59.71824973319104
8363.0	60.0
8438.0	60.0
8513.0	60.0
8588.0	60.0
8663.0	60.0
8738.0	60.0
8813.0	60.0
8888.0	60.0
8963.0	60.0
9038.0	60.0
9113.0	60.0
9188.0	60.0
9263.0	59.98293029871977
9338.0	60.0
9413.0	60.0
9488.0	60.0
9563.0	60.0
9638.0	60.0
9713.0	59.935501209352324
9788.0	60.0
9863.0	60.0
9938.0	60.0
10013.0	60.0
10088.0	60.0
10163.0	59.98717126363053
10238.0	59.9839871897518
10313.0	60.0
10388.0	59.97808819501506
10463.0	59.98124413879337
10538.0	60.0
10613.0	60.0
10688.0	60.0
10763.0	59.978130125751775
10838.0	59.952950401881985
10913.0	59.986107895346144
10988.0	59.95861117498276
11063.0	59.95784296504479
11138.0	60.0
11213.0	60.0
11288.0	60.0
11363.0	59.99184434346965
11438.0	60.0
11513.0	60.0
11588.0	59.96862745098039
11663.0	59.96422182468694
11738.0	60.0
11813.0	60.0
11888.0	60.0
11963.0	60.0
12038.0	60.0
12113.0	60.0
12188.0	59.97877608772551
12263.0	59.99071782178218
12338.0	60.0
12413.0	60.0
12488.0	59.97921718046415
12563.0	60.0
12638.0	60.0
12713.0	59.98246895544193
12788.0	60.0
12863.0	60.0
12938.0	60.0
13013.0	59.994267150773936
13088.0	60.0
13163.0	59.98782591052044
13238.0	60.0
13313.0	59.98467237195044
13388.0	59.990442816183496
13463.0	58.95361004534357
13538.0	59.868852459016395
13613.0	59.97699386503067
13688.0	59.98425403490356
13763.0	60.0
13838.0	60.0
13913.0	59.988830975428144
13988.0	59.985559566787
14063.0	60.0
14138.0	60.0
14213.0	59.97747747747748
14288.0	59.98193859121012
14363.0	59.99356735894137
14438.0	60.0
14513.0	60.0
14588.0	59.9959244667844
14663.0	59.9636950383219
14738.0	59.98239694880446
14813.0	60.0
14888.0	59.94993742177722
14963.0	60.0
15038.0	60.0
15113.0	60.0
15188.0	59.44672131147541
15263.0	59.97286184210526
15338.0	59.96835443037975
15413.0	60.0
15488.0	60.0
15563.0	59.98360655737705
15638.0	60.0
15713.0	60.0
15788.0	60.0
15863.0	60.0
15938.0	60.0
16013.0	60.0
16088.0	60.0
16163.0	59.98585572842999
16238.0	60.0
16313.0	60.0
16388.0	60.0
16463.0	60.0
16538.0	60.0
16613.0	60.0
16688.0	60.0
16763.0	60.0
16838.0	59.97878359264498
16913.0	59.97029702970297
16988.0	60.0
17063.0	60.0
17138.0	60.0
17213.0	60.0
17288.0	60.0
17363.0	60.0
17438.0	59.84820374430764
17513.0	60.0
17588.0	60.0
17663.0	60.0
17738.0	60.0
17813.0	60.0
17888.0	60.0
17963.0	60.0
18038.0	60.0
18113.0	60.0
18188.0	59.97310020174849
18263.0	59.4741114523914
18338.0	58.84260301733844
18413.0	59.32776560788609
18488.0	59.552854849805094
18563.0	59.80550833049983
18638.0	59.779411764705884
18713.0	59.90369181380417
18788.0	60.0
18863.0	60.0
18938.0	59.9922500645828
19013.0	60.0
19088.0	59.932469098583056
19163.0	59.942860699614094
19238.0	60.0
19313.0	59.92560446373218
19388.0	60.0
19463.0	60.0
19538.0	59.998361416828246
19613.0	60.0
19688.0	60.0
19763.0	60.0
19838.0	60.0
19913.0	60.0
19988.0	60.0
20063.0	60.0
20138.0	60.0
20213.0	59.968371112282554
20288.0	60.0
20363.0	60.0
20438.0	60.0
20513.0	59.95083981974601
20588.0	59.96902426432628
20663.0	59.98040496407577
20738.0	60.0
20813.0	59.93768176152887
20888.0	59.8646514775547
20963.0	60.0
21038.0	60.0
21113.0	60.0
21188.0	60.0
21263.0	60.0
21338.0	60.0
21413.0	60.0
21488.0	60.0
21563.0	60.0
21638.0	59.95411089866157
21713.0	60.0
21788.0	60.0
21863.0	59.941520467836256
21938.0	59.84667802385008
22013.0	59.70998925886144
22088.0	60.0
22163.0	60.0
22238.0	59.96606334841629
22313.0	60.0
22388.0	60.0
22463.0	60.0
22538.0	60.0
22613.0	60.0
22688.0	60.0
22763.0	60.0
22838.0	59.50867998689813
22913.0	60.0
22988.0	60.0
23063.0	60.0
23138.0	60.0
23213.0	59.973094170403584
23288.0	60.0
23363.0	59.98042414355628
23438.0	60.0
23513.0	60.0
23588.0	60.0
23663.0	60.0
23738.0	60.0
23813.0	60.0
23888.0	60.0
23963.0	58.788061501356644
24038.0	60.0
24113.0	60.0
24188.0	60.0
24263.0	59.971112181030335
24338.0	60.0
24413.0	59.96248124062031
24488.0	60.0
24563.0	60.0
24638.0	60.0
24713.0	60.0
24788.0	59.73150357995227
24863.0	60.0
24938.0	60.0
25013.0	60.0
25088.0	60.0
25163.0	60.0
25238.0	60.0
25313.0	60.0
25388.0	59.85096870342772
25463.0	59.60960287188692
25538.0	60.0
25613.0	60.0
25688.0	59.98067632850242
25763.0	60.0
25838.0	60.0
25913.0	60.0
25988.0	60.0
26063.0	60.0
26138.0	60.0
26213.0	60.0
26288.0	59.96544176938141
26363.0	60.0
26438.0	60.0
26513.0	60.0
26588.0	59.98320738874895
26663.0	60.0
26738.0	59.98579040852575
26813.0	59.532467532467535
26888.0	60.0
26963.0	60.0
27038.0	59.9235790479223
27113.0	60.0
27188.0	59.98330086278876
27263.0	60.0
27338.0	60.0
27413.0	60.0
27488.0	60.0
27563.0	60.0
27638.0	60.0
27713.0	60.0
27788.0	60.0
27863.0	60.0
27938.0	60.0
28013.0	60.0
28088.0	60.0
28163.0	59.99105412255852
28238.0	60.0
28313.0	59.689998769836386
28388.0	59.96843766438717
28463.0	60.0
28538.0	60.0
28613.0	60.0
28688.0	60.0
28763.0	60.0
28838.0	60.0
28913.0	60.0
28988.0	60.0
29063.0	60.0
29138.0	59.9507927829415
29213.0	59.16645617580197
29288.0	59.9671322925226
29363.0	60.0
29438.0	60.0
29513.0	60.0
29588.0	60.0
29663.0	59.96190476190476
29738.0	59.86531986531987
29813.0	60.0
29877.0	60.0
