#Position (bp)	Coverage
38.0	21.013333333333332
113.0	69.58666666666667
188.0	181.89333333333335
263.0	267.5466666666667
338.0	296.58666666666664
413.0	313.72
488.0	316.2266666666667
563.0	308.12
638.0	319.61333333333334
713.0	312.06666666666666
788.0	278.81333333333333
863.0	243.70666666666668
938.0	204.13333333333333
1013.0	204.04
1088.0	229.94666666666666
1163.0	243.72
1238.0	238.74666666666667
1313.0	265.38666666666666
1388.0	278.81333333333333
1463.0	274.53333333333336
1538.0	306.2133333333333
1613.0	341.68
1688.0	452.6
1763.0	523.72
1838.0	459.46666666666664
1913.0	396.17333333333335
1988.0	329.44
2063.0	286.4
2138.0	293.1066666666667
2213.0	354.17333333333335
2288.0	409.96
2363.0	384.7866666666667
2438.0	329.76
2513.0	299.48
2588.0	294.5466666666667
2663.0	272.16
2738.0	261.84
2813.0	243.01333333333332
2888.0	235.41333333333333
2963.0	314.84
3038.0	381.48
3113.0	433.97333333333336
3188.0	442.73333333333335
3263.0	378.70666666666665
3338.0	284.3066666666667
3413.0	337.6533333333333
3488.0	515.68
3563.0	607.1066666666667
3638.0	578.72
3713.0	403.32
3788.0	368.74666666666667
3863.0	364.8933333333333
3938.0	293.41333333333336
4013.0	303.64
4088.0	215.98666666666668
4163.0	214.24
4238.0	259.58666666666664
4313.0	237.58666666666667
4388.0	244.44
4463.0	218.25333333333333
4538.0	287.24
4613.0	373.76
4688.0	357.4533333333333
4763.0	268.82666666666665
4838.0	178.94666666666666
4913.0	193.06666666666666
4988.0	229.96
5063.0	240.57333333333332
5138.0	245.28
5213.0	248.12
5288.0	260.88
5363.0	267.4
5438.0	311.7733333333333
5513.0	330.12
5588.0	298.06666666666666
5663.0	280.28
5738.0	235.04
5813.0	256.93333333333334
5888.0	277.37333333333333
5963.0	229.82666666666665
6038.0	223.76
6113.0	235.88
6188.0	231.18666666666667
6263.0	240.30666666666667
6338.0	272.93333333333334
6413.0	287.61333333333334
6488.0	243.33333333333334
6563.0	157.84
6638.0	129.13333333333333
6713.0	102.48
6788.0	97.38666666666667
6863.0	100.25333333333333
6938.0	80.17333333333333
7013.0	106.01333333333334
7088.0	147.64
7163.0	184.02666666666667
7238.0	225.33333333333334
7313.0	239.72
7388.0	230.78666666666666
7463.0	237.56
7538.0	292.48
7613.0	341.8
7688.0	295.4533333333333
7763.0	258.5466666666667
7838.0	263.4
7913.0	255.96
7988.0	312.08
8063.0	391.6533333333333
8138.0	404.06666666666666
8213.0	434.36
8288.0	366.82666666666665
8363.0	331.6
8438.0	362.24
8513.0	350.68
8588.0	350.02666666666664
8663.0	348.96
8738.0	348.16
8813.0	364.8
8888.0	345.32
8963.0	327.58666666666664
9038.0	275.37333333333333
9113.0	271.0933333333333
9188.0	292.49333333333334
9263.0	262.8
9338.0	219.85333333333332
9413.0	273.48
9488.0	310.76
